DEAL_NO,PURPOSE,AMOUNT
500082,Business Expansion,3558.47
500083,Working Capital,2105.42
500084,Business Expansion,5863.03
500085,Equipment Purchase,3740.14
500086,Business Expansion,138007.33
500087,Working Capital,165619.52
500088,Working Capital,507.64
500088,Personal Consumption,507.64
500089,Debt Consolidation,28412.71
500090,Business Expansion,34844.51
500091,Business Expansion,4152.45
500092,Vehicle Purchase,584.1
500093,Business Expansion,33871.2
500094,Debt Consolidation,60.12
500095,Construction,3128.79
500096,Personal Consumption,1541.75
500097,Business Expansion,2081.24
500097,Working Capital,2081.24
500097,Equipment Purchase,2081.24
500098,Working Capital,20104.6
500099,Business Expansion,76404.02
500100,Construction,37098.79
500101,Equipment Purchase,55894.16
500102,Business Expansion,86288.56
500103,Working Capital,65115.53
500104,Equipment Purchase,3251.59
500105,Real Estate Purchase,339.14
500106,Equipment Purchase,2230.42
500107,Equipment Purchase,24990.42
500108,Construction,9915.13
500109,Working Capital,638.17
500110,Working Capital,23237.47
500111,Personal Consumption,1146.49
500112,Equipment Purchase,2187.26
500113,Working Capital,56094.64
500114,Business Expansion,1263.48
500115,Construction,3168.47
500116,Working Capital,2266.12
500117,Business Expansion,4845.34
500118,Working Capital,93420.87
500119,Working Capital,22769.49
500120,Debt Consolidation,101892.62
500120,Working Capital,101892.62
500121,Business Expansion,191773.54
500122,Business Expansion,1485.17
500123,Personal Consumption,270.53
500124,Equipment Purchase,3306.53
500125,Working Capital,3599.77
500126,Working Capital,84040.35
500126,Construction,84040.35
500127,Business Expansion,3506.92
500128,Construction,10522.99
500129,Debt Consolidation,92058.02
500130,Business Expansion,111272.01
500131,Construction,3974.13
500132,Equipment Purchase,30719.31
500133,Business Expansion,7683.52
500134,Vehicle Purchase,765.73
500135,Business Expansion,111545.34
500136,Working Capital,8725.59
500136,Business Expansion,8725.58
500136,Equipment Purchase,8725.59
500137,Business Expansion,2491.66
500138,Real Estate Purchase,142.89
500139,Business Expansion,34975.73
500140,Business Expansion,536.78
500141,Working Capital,32682.3
500142,Working Capital,6976.46
500142,Business Expansion,6976.46
500142,Equipment Purchase,6976.46
500143,Business Expansion,2443.73
500144,Debt Consolidation,188.53
500145,Vehicle Purchase,1720.72
500146,Working Capital,180.35
500146,Vehicle Purchase,180.36
500147,Business Expansion,2493.34
500148,Working Capital,1368.94
500148,Business Expansion,1368.95
500149,Working Capital,11389.65
500150,Personal Consumption,568.26
500151,Debt Consolidation,488.23
500151,Working Capital,488.22
500152,Construction,2232.5
500153,Business Expansion,204.63
500154,Working Capital,5740.0
500155,Business Expansion,92910.39
500156,Real Estate Purchase,77.22
500156,Home Purchase,77.23
500157,Working Capital,480.38
500158,Equipment Purchase,4402.5
500159,Working Capital,27363.74
500160,Equipment Purchase,36650.56
500161,Business Expansion,143491.27
500162,Debt Consolidation,23102.28
500163,Construction,4417.65
500164,Business Expansion,3455.02
500165,Business Expansion,2091.96
500166,Business Expansion,2988.38
500167,Working Capital,4589.5
500167,Working Capital,4589.5
500168,Working Capital,68315.54
500168,Working Capital,68315.53
500169,Working Capital,8577.95
500170,Construction,2673.16
500171,Debt Consolidation,832.67
500172,Business Expansion,180453.0
500173,Debt Consolidation,1614.65
500174,Equipment Purchase,136940.47
500175,Business Expansion,19880.21
500176,Equipment Purchase,38797.1
500177,Equipment Purchase,115289.92
500178,Working Capital,1664.2
500179,Home Purchase,1691.31
500180,Working Capital,644.7
500180,Vehicle Purchase,644.7
500181,Debt Consolidation,15091.61
500181,Working Capital,15091.62
500182,Working Capital,6035.57
500182,Equipment Purchase,6035.58
500182,Business Expansion,6035.57
500183,Working Capital,29008.23
500184,Working Capital,795.72
500184,Real Estate Purchase,795.72
500185,Vehicle Purchase,1584.68
500186,Business Expansion,6634.49
500187,Personal Consumption,1128.89
500188,Working Capital,39039.16
500189,Debt Consolidation,3735.23
500190,Construction,82822.87
500191,Debt Consolidation,24405.24
500191,Working Capital,24405.25
500192,Business Expansion,27673.24
500193,Working Capital,941.62
500193,Business Expansion,941.61
500194,Debt Consolidation,1896.16
500195,Debt Consolidation,10103.95
500196,Debt Consolidation,1485.93
500197,Home Purchase,1319.65
500198,Home Purchase,36.09
500199,Business Expansion,34577.39
500200,Vehicle Purchase,25.15
500201,Working Capital,21691.08
500201,Working Capital,21691.09
500202,Working Capital,17013.59
500203,Business Expansion,26135.74
500204,Business Expansion,3043.58
500205,Working Capital,9901.16
500206,Working Capital,3538.37
500207,Real Estate Purchase,1615.44
500208,Debt Consolidation,38335.95
500209,Business Expansion,2183.54
500210,Business Expansion,7517.72
500211,Personal Consumption,1346.58
500212,Equipment Purchase,3116.43
500213,Debt Consolidation,1039.11
500214,Debt Consolidation,11248.33
500214,Working Capital,11248.32
500215,Equipment Purchase,2782.49
500216,Personal Consumption,821.51
500217,Business Expansion,70366.94
500218,Business Expansion,18761.86
500219,Real Estate Purchase,1161.04
500220,Business Expansion,8705.84
500221,Vehicle Purchase,549.1
500221,Working Capital,549.09
500222,Debt Consolidation,1794.88
500223,Real Estate Purchase,607.28
500224,Working Capital,2380.49
500225,Business Expansion,981.18
500225,Working Capital,981.18
500225,Equipment Purchase,981.18
500226,Construction,33554.4
500227,Working Capital,484.88
500227,Equipment Purchase,484.88
500227,Business Expansion,484.87
500228,Debt Consolidation,3362.12
500229,Business Expansion,2030.56
500230,Business Expansion,34573.41
500231,Working Capital,1478.53
500232,Working Capital,3251.12
500233,Working Capital,2370.08
500234,Business Expansion,2135.23
500234,Working Capital,2135.23
500235,Working Capital,17738.16
500236,Working Capital,27515.98
500237,Equipment Purchase,197.22
500238,Equipment Purchase,162.81
500239,Vehicle Purchase,690.36
500240,Home Purchase,1002.05
500241,Real Estate Purchase,358.84
500242,Equipment Purchase,2489.95
500243,Equipment Purchase,157658.27
500244,Real Estate Purchase,1424.81
500245,Working Capital,9805.54
500246,Construction,3510.36
500247,Business Expansion,714.63
500248,Personal Consumption,1779.06
500249,Construction,154694.98
500250,Working Capital,55472.76
500250,Business Expansion,55472.77
500251,Personal Consumption,476.59
500251,Debt Consolidation,476.6
500251,Working Capital,476.59
500252,Personal Consumption,1746.59
500253,Working Capital,77.22
500253,Vehicle Purchase,77.23
500254,Business Expansion,16442.83
500255,Business Expansion,13711.31
500256,Equipment Purchase,3080.11
500257,Business Expansion,17940.91
500258,Equipment Purchase,460.66
500258,Working Capital,460.66
500259,Business Expansion,1231.24
500259,Equipment Purchase,1231.24
500259,Working Capital,1231.23
500260,Construction,2732.34
500261,Real Estate Purchase,789.1
500262,Working Capital,995.25
500262,Business Expansion,995.26
500262,Working Capital,995.25
500263,Equipment Purchase,174393.64
500264,Working Capital,133277.69
500265,Real Estate Purchase,1671.12
500266,Working Capital,95631.75
500267,Construction,136831.86
500268,Debt Consolidation,22532.13
500269,Working Capital,22818.89
500270,Working Capital,365.75
500270,Vehicle Purchase,365.76
500271,Business Expansion,22530.16
500272,Equipment Purchase,530.8
500272,Working Capital,530.8
500272,Working Capital,530.8
500273,Debt Consolidation,1268.01
500274,Working Capital,1472.13
500274,Debt Consolidation,1472.14
500275,Working Capital,153.19
500275,Equipment Purchase,153.2
500276,Business Expansion,4397.36
500277,Working Capital,23935.86
500278,Working Capital,36607.58
500279,Business Expansion,2133.84
500279,Construction,2133.84
500279,Working Capital,2133.84
500280,Business Expansion,33966.78
500281,Debt Consolidation,589.86
500281,Working Capital,589.86
500281,Personal Consumption,589.86
500282,Equipment Purchase,3067.21
500283,Working Capital,30993.0
500284,Business Expansion,7267.93
500284,Construction,7267.93
500285,Equipment Purchase,23598.35
500286,Debt Consolidation,92576.03
500286,Working Capital,92576.03
500287,Construction,3249.33
500288,Construction,9986.82
500289,Business Expansion,3027.19
500290,Working Capital,1357.8
500290,Equipment Purchase,1357.8
500290,Working Capital,1357.79
500291,Vehicle Purchase,1472.91
500292,Working Capital,13184.59
500293,Business Expansion,24970.07
500294,Business Expansion,157973.48
500295,Business Expansion,26935.33
500296,Vehicle Purchase,871.46
500296,Working Capital,871.46
500297,Business Expansion,2529.64
500298,Working Capital,1108.06
500298,Business Expansion,1108.06
500299,Working Capital,1023.77
500300,Equipment Purchase,3881.18
500301,Refinance,2386.33
500302,Refinance,18382.88
500303,Refinance,52054.07
500304,Refinance,4163.86
500305,Refinance,62000.33
500305,Refinance,62000.33
500305,Refinance,62000.33
500306,Refinance,4394.09
500307,Working Capital,18537.01
500308,Business Expansion,5073.01
500308,Working Capital,5073.01
500309,Business Expansion,36886.04
500310,Business Expansion,11071.21
500311,Working Capital,1967.73
500312,Working Capital,55808.08
500313,Business Expansion,6296.3
500313,Construction,6296.31
500313,Working Capital,6296.3
500314,Business Expansion,348.87
500315,Working Capital,4326.6
500316,Working Capital,5564.64
500317,Working Capital,374.21
500318,Working Capital,7088.13
500319,Working Capital,3332.68
500320,Personal Consumption,1612.63
500321,Business Expansion,3572.51
500322,Debt Consolidation,150018.66
500323,Vehicle Purchase,1705.76
500324,Business Expansion,8893.17
500324,Working Capital,8893.16
500325,Equipment Purchase,3457.23
500326,Business Expansion,4104.69
500327,Working Capital,2539.11
500328,Debt Consolidation,8536.72
500329,Debt Consolidation,1469.08
500330,Construction,6250.41
500330,Working Capital,6250.41
500331,Construction,188874.0
500332,Equipment Purchase,13515.39
500333,Real Estate Purchase,1550.11
500334,Business Expansion,798.14
500334,Equipment Purchase,798.14
500334,Working Capital,798.14
500335,Business Expansion,3666.6
500336,Business Expansion,3022.23
500337,Business Expansion,158962.78
500338,Working Capital,731.92
500339,Real Estate Purchase,326.82
500340,Debt Consolidation,1349.71
500341,Working Capital,2714.45
500342,Vehicle Purchase,1095.75
500343,Working Capital,21501.81
500344,Vehicle Purchase,1730.05
500345,Debt Consolidation,16922.13
500346,Equipment Purchase,3318.37
500347,Equipment Purchase,34422.25
500348,Construction,131309.08
500349,Working Capital,1356.16
500350,Vehicle Purchase,106.17
500351,Debt Consolidation,9894.99
500352,Construction,923.53
500352,Working Capital,923.53
500352,Business Expansion,923.54
500353,Home Purchase,361.83
500354,Working Capital,85064.37
500355,Real Estate Purchase,925.2
500356,Equipment Purchase,2737.2
500357,Working Capital,58.47
500357,Personal Consumption,58.47
500357,Debt Consolidation,58.47
500358,Debt Consolidation,91.92
500358,Personal Consumption,91.92
500359,Business Expansion,1513.1
500359,Construction,1513.09
500360,Business Expansion,729.88
500360,Working Capital,729.88
500360,Working Capital,729.87
500361,Vehicle Purchase,438.33
500362,Debt Consolidation,555.14
500363,Equipment Purchase,21521.8
500364,Business Expansion,3924.85
500365,Working Capital,128909.05
500366,Home Purchase,1294.2
500367,Working Capital,73325.5
500368,Real Estate Purchase,1798.81
500369,Working Capital,12608.77
500370,Equipment Purchase,32709.22
500371,Working Capital,741.4
500371,Debt Consolidation,741.4
500372,Working Capital,21246.47
500373,Debt Consolidation,11040.56
500374,Working Capital,3918.47
500374,Working Capital,3918.47
500375,Real Estate Purchase,1616.53
500376,Construction,33976.5
500377,Equipment Purchase,3586.57
500378,Working Capital,5505.55
500379,Equipment Purchase,15171.37
500380,Construction,79126.87
500381,Vehicle Purchase,1427.48
500382,Working Capital,24362.39
500383,Home Purchase,1627.32
500384,Working Capital,8084.9
500384,Equipment Purchase,8084.89
500385,Working Capital,948.85
500385,Equipment Purchase,948.85
500385,Business Expansion,948.85
500386,Working Capital,126770.26
500387,Debt Consolidation,29541.58
500388,Vehicle Purchase,23.68
500388,Working Capital,23.68
500389,Working Capital,301.09
500389,Real Estate Purchase,301.09
500389,Home Purchase,301.09
500390,Business Expansion,20255.35
500391,Business Expansion,2625.38
500392,Equipment Purchase,2978.32
500393,Working Capital,17744.37
500394,Construction,2887.88
500395,Personal Consumption,612.49
500396,Working Capital,29665.31
500397,Personal Consumption,1702.25
500398,Debt Consolidation,95.31
500399,Business Expansion,10838.24
500400,Business Expansion,36722.51
500401,Working Capital,514.8
500401,Business Expansion,514.8
500401,Equipment Purchase,514.8
500402,Working Capital,91827.95
500403,Equipment Purchase,244.91
500404,Working Capital,2410.45
500405,Business Expansion,456.44
500405,Working Capital,456.43
500406,Vehicle Purchase,1711.3
500407,Vehicle Purchase,881.45
500408,Equipment Purchase,14213.06
500409,Debt Consolidation,20229.04
500410,Business Expansion,4434.79
500411,Home Purchase,1173.8
500412,Personal Consumption,978.8
500413,Equipment Purchase,1460.39
500413,Working Capital,1460.38
500413,Business Expansion,1460.39
500414,Working Capital,44.41
500415,Business Expansion,3766.16
500416,Business Expansion,2825.28
500417,Working Capital,1131.12
500417,Working Capital,1131.13
500418,Equipment Purchase,14603.37
500419,Equipment Purchase,183589.47
500420,Working Capital,8059.14
500420,Working Capital,8059.13
500421,Working Capital,1429.04
500422,Equipment Purchase,428.14
500423,Working Capital,3479.43
500424,Business Expansion,113052.24
500425,Personal Consumption,448.79
500426,Construction,12472.0
500427,Working Capital,1394.37
500427,Equipment Purchase,1394.37
500428,Vehicle Purchase,158.34
500429,Working Capital,47495.21
500429,Debt Consolidation,47495.21
500430,Business Expansion,13736.76
500431,Home Purchase,688.0
500432,Business Expansion,3653.66
500433,Working Capital,4610.62
500433,Working Capital,4610.63
500434,Vehicle Purchase,392.59
500435,Vehicle Purchase,1842.71
500436,Construction,27810.81
500437,Working Capital,2035.29
500438,Home Purchase,515.17
500439,Working Capital,8411.49
500440,Business Expansion,2110.16
500441,Home Purchase,91.97
500442,Business Expansion,4041.74
500443,Personal Consumption,850.25
500444,Construction,17831.59
500445,Working Capital,95814.65
500445,Working Capital,95814.65
500446,Real Estate Purchase,981.88
500447,Business Expansion,2137.51
500447,Equipment Purchase,2137.51
500448,Business Expansion,2662.45
500449,Business Expansion,2043.58
500450,Construction,49291.53
500450,Business Expansion,49291.53
500451,Equipment Purchase,400.19
500452,Debt Consolidation,17044.13
500453,Working Capital,1315.6
500454,Working Capital,3438.26
500455,Business Expansion,30804.69
500456,Construction,42047.58
500456,Working Capital,42047.59
500457,Home Purchase,976.19
500458,Vehicle Purchase,120.53
500459,Construction,89197.42
500460,Working Capital,4646.08
500461,Vehicle Purchase,456.12
500462,Working Capital,22900.97
500463,Business Expansion,1113.43
500463,Working Capital,1113.44
500464,Equipment Purchase,125880.41
500465,Business Expansion,83474.89
500466,Equipment Purchase,26398.96
500467,Business Expansion,56.63
500468,Real Estate Purchase,1323.28
500469,Working Capital,19045.45
500470,Equipment Purchase,6723.57
500471,Business Expansion,11233.11
500472,Home Purchase,489.67
500472,Real Estate Purchase,489.67
500473,Equipment Purchase,35683.61
500474,Construction,59432.96
500474,Working Capital,59432.97
500474,Business Expansion,59432.96
500475,Vehicle Purchase,721.46
500476,Working Capital,17219.66
500477,Equipment Purchase,2539.0
500478,Business Expansion,1882.63
500479,Working Capital,10678.0
500479,Working Capital,10677.99
500480,Business Expansion,596.74
500481,Debt Consolidation,12301.82
500482,Working Capital,52878.34
500483,Real Estate Purchase,994.34
500484,Real Estate Purchase,1688.65
500485,Business Expansion,63630.21
500486,Construction,40415.47
500487,Working Capital,2039.99
500487,Business Expansion,2040.0
500488,Business Expansion,3169.12
500489,Working Capital,494.77
500489,Business Expansion,494.77
500490,Real Estate Purchase,332.99
500491,Business Expansion,25258.89
500492,Business Expansion,692.99
500492,Working Capital,692.99
500492,Equipment Purchase,692.98
500493,Business Expansion,37991.99
500494,Working Capital,686.98
500494,Equipment Purchase,686.97
500494,Business Expansion,686.98
500495,Business Expansion,3304.26
500496,Working Capital,10123.1
500496,Business Expansion,10123.1
500497,Working Capital,17501.62
500498,Working Capital,4359.56
500499,Business Expansion,2226.84
500500,Real Estate Purchase,967.98
500501,Working Capital,4882.89
500501,Construction,4882.89
500502,Real Estate Purchase,498.16
500503,Working Capital,3358.2
500504,Working Capital,644.33
500505,Working Capital,34938.9
500506,Business Expansion,96241.69
500507,Business Expansion,1530.16
500507,Equipment Purchase,1530.16
500507,Working Capital,1530.17
500508,Working Capital,21193.07
500509,Construction,3115.57
500510,Business Expansion,124874.46
500511,Business Expansion,7613.55
500512,Vehicle Purchase,97.88
500513,Construction,1868.17
500513,Working Capital,1868.18
500514,Working Capital,3560.22
500515,Working Capital,21270.56
500516,Working Capital,149720.58
500517,Working Capital,352.78
500517,Business Expansion,352.78
500517,Equipment Purchase,352.78
500518,Business Expansion,4153.36
500519,Business Expansion,124763.13
500520,Construction,120802.85
500521,Business Expansion,2582.86
500522,Debt Consolidation,64180.83
500523,Equipment Purchase,2715.19
500524,Working Capital,10930.04
500524,Business Expansion,10930.04
500525,Equipment Purchase,4116.98
500526,Vehicle Purchase,1022.33
500527,Construction,2656.74
500528,Business Expansion,2540.61
500529,Business Expansion,1157.73
500530,Construction,4695.72
500531,Equipment Purchase,40166.96
500532,Working Capital,19031.7
500533,Construction,108211.4
500534,Vehicle Purchase,1611.63
500535,Working Capital,11405.85
500536,Vehicle Purchase,631.61
500537,Business Expansion,2199.22
500537,Working Capital,2199.21
500538,Business Expansion,2692.53
500539,Business Expansion,30804.84
500540,Debt Consolidation,3973.06
500541,Business Expansion,39063.08
500542,Home Purchase,487.53
500543,Construction,181490.49
500544,Business Expansion,24189.51
500545,Equipment Purchase,4062.58
500546,Working Capital,30447.25
500546,Business Expansion,30447.25
500547,Business Expansion,1460.8
500547,Working Capital,1460.8
500548,Vehicle Purchase,721.51
500549,Business Expansion,39.09
500549,Equipment Purchase,39.09
500549,Working Capital,39.1
500550,Vehicle Purchase,1338.06
500551,Business Expansion,43283.72
500552,Business Expansion,20720.07
500553,Business Expansion,82351.23
500553,Construction,82351.23
500554,Business Expansion,2683.1
500555,Business Expansion,2201.21
500556,Debt Consolidation,2453.25
500557,Equipment Purchase,132049.13
500558,Construction,3696.03
500559,Home Purchase,392.47
500560,Vehicle Purchase,982.93
500561,Working Capital,139764.8
500562,Real Estate Purchase,1375.73
500563,Working Capital,17150.27
500564,Vehicle Purchase,299.91
500565,Working Capital,1337.64
500566,Equipment Purchase,1430.82
500567,Working Capital,2041.84
500568,Working Capital,18809.42
500569,Business Expansion,1759.97
500570,Business Expansion,3074.59
500571,Equipment Purchase,4919.75
500571,Working Capital,4919.75
500572,Real Estate Purchase,1163.37
500573,Equipment Purchase,1527.3
500574,Business Expansion,5430.54
500574,Construction,5430.53
500574,Working Capital,5430.54
500575,Equipment Purchase,11506.15
500576,Business Expansion,659.77
500577,Working Capital,661.8
500578,Business Expansion,27511.82
500579,Debt Consolidation,2829.21
500580,Debt Consolidation,1056.01
500581,Equipment Purchase,21118.51
500581,Working Capital,21118.51
500581,Business Expansion,21118.52
500582,Working Capital,10604.21
500583,Business Expansion,2785.29
500584,Working Capital,44266.99
500585,Business Expansion,7930.69
500585,Working Capital,7930.7
500586,Business Expansion,18280.65
500586,Working Capital,18280.66
500587,Business Expansion,12596.01
500588,Working Capital,275.38
500588,Equipment Purchase,275.37
500589,Debt Consolidation,4032.45
500590,Equipment Purchase,3547.76
500591,Debt Consolidation,183398.23
500592,Construction,37794.31
500593,Debt Consolidation,873.89
500594,Business Expansion,210.79
500595,Business Expansion,1598.11
500596,Working Capital,1802.98
500596,Business Expansion,1802.99
500597,Working Capital,71584.56
500598,Real Estate Purchase,1190.41
500599,Equipment Purchase,2265.95
500600,Vehicle Purchase,172.19
500600,Working Capital,172.18
500601,Home Purchase,79.72
500602,Business Expansion,114516.57
500603,Equipment Purchase,189.68
500603,Business Expansion,189.67
500604,Business Expansion,54710.4
500604,Working Capital,54710.4
500604,Construction,54710.41
500605,Equipment Purchase,153693.27
500606,Debt Consolidation,126829.71
500607,Refinance,40258.19
500608,Refinance,1591.74
500608,Refinance,1591.75
500609,Refinance,29219.01
500610,Refinance,2275.18
500610,Refinance,2275.18
500610,Refinance,2275.18
500611,Business Expansion,9297.03
500612,Home Purchase,1124.49
500613,Vehicle Purchase,1580.95
500614,Business Expansion,4025.85
500615,Equipment Purchase,4244.66
500616,Debt Consolidation,123378.29
500617,Construction,4027.34
500618,Business Expansion,7434.0
500618,Working Capital,7434.0
500618,Construction,7434.0
500619,Construction,2547.51
500620,Working Capital,8258.02
500621,Debt Consolidation,51057.87
500622,Working Capital,2284.54
500623,Vehicle Purchase,334.67
500624,Business Expansion,12046.02
500625,Business Expansion,23072.52
500626,Debt Consolidation,504.82
500627,Business Expansion,159379.71
500628,Working Capital,55158.82
500628,Equipment Purchase,55158.82
500628,Business Expansion,55158.83
500629,Equipment Purchase,90473.87
500630,Working Capital,26550.8
500631,Business Expansion,111492.81
500632,Working Capital,15543.15
500633,Business Expansion,2166.24
500634,Business Expansion,2428.53
500635,Working Capital,2594.57
500636,Business Expansion,34728.17
500637,Business Expansion,328.94
500637,Working Capital,328.95
500638,Business Expansion,38289.79
500639,Business Expansion,1087.84
500640,Equipment Purchase,16393.35
500641,Business Expansion,4137.87
500642,Construction,3827.86
500643,Debt Consolidation,1651.75
500644,Working Capital,21205.85
500645,Business Expansion,25962.79
500646,Business Expansion,23806.99
500647,Business Expansion,8789.86
500647,Equipment Purchase,8789.86
500648,Business Expansion,50000.62
500648,Construction,50000.62
500648,Working Capital,50000.63
500649,Home Purchase,468.48
500650,Business Expansion,53805.8
500651,Working Capital,21548.62
500651,Business Expansion,21548.62
500652,Construction,173126.59
500653,Equipment Purchase,1273.87
500654,Working Capital,11753.51
500655,Debt Consolidation,2387.14
500656,Construction,10939.21
500657,Working Capital,1964.05
500658,Business Expansion,25527.07
500659,Vehicle Purchase,1236.71
500660,Real Estate Purchase,49.03
500661,Debt Consolidation,1843.92
500662,Home Purchase,1187.0
500663,Equipment Purchase,2578.25
500664,Debt Consolidation,540.23
500665,Debt Consolidation,44374.47
500666,Working Capital,12418.83
500666,Business Expansion,12418.83
500666,Equipment Purchase,12418.84
500667,Business Expansion,3758.5
500668,Business Expansion,2190.4
500669,Real Estate Purchase,760.39
500670,Business Expansion,30869.63
500671,Business Expansion,16730.4
500672,Working Capital,2353.6
500673,Construction,3928.22
500674,Equipment Purchase,1442.76
500674,Business Expansion,1442.76
500674,Working Capital,1442.76
500675,Business Expansion,7399.03
500675,Working Capital,7399.04
500676,Construction,21463.5
500677,Vehicle Purchase,1286.22
500678,Working Capital,3446.87
500679,Equipment Purchase,2077.02
500680,Business Expansion,142.55
500681,Working Capital,403.94
500681,Vehicle Purchase,403.95
500682,Business Expansion,2839.74
500683,Equipment Purchase,1466.14
500684,Vehicle Purchase,1183.54
500685,Business Expansion,2394.87
500686,Working Capital,75838.15
500687,Business Expansion,17711.67
500688,Business Expansion,66513.7
500689,Working Capital,3588.66
500690,Construction,86571.58
500691,Working Capital,140873.37
500692,Debt Consolidation,63260.91
500693,Business Expansion,4239.23
500694,Debt Consolidation,2251.7
500695,Vehicle Purchase,425.54
500696,Debt Consolidation,1679.05
500697,Equipment Purchase,718.31
500698,Working Capital,147.86
500698,Real Estate Purchase,147.86
500698,Home Purchase,147.87
500699,Equipment Purchase,3446.36
500700,Debt Consolidation,20719.69
500701,Equipment Purchase,13243.05
500702,Business Expansion,4605.74
500703,Equipment Purchase,674.13
500704,Working Capital,714.28
500704,Equipment Purchase,714.27
500704,Working Capital,714.28
500705,Real Estate Purchase,1388.44
500706,Business Expansion,3040.71
500707,Home Purchase,290.86
500707,Real Estate Purchase,290.86
500707,Working Capital,290.85
500708,Equipment Purchase,3826.33
500709,Working Capital,9490.33
500709,Debt Consolidation,9490.34
500710,Home Purchase,356.29
500710,Real Estate Purchase,356.3
500710,Working Capital,356.29
500711,Home Purchase,247.69
500711,Working Capital,247.7
500712,Business Expansion,2204.95
500712,Working Capital,2204.94
500713,Business Expansion,112450.55
500714,Vehicle Purchase,218.34
500715,Equipment Purchase,4283.46
500716,Working Capital,2793.17
500717,Business Expansion,1768.23
500717,Working Capital,1768.24
500718,Construction,1421.32
500718,Working Capital,1421.31
500719,Working Capital,943.7
500720,Business Expansion,942.57
500721,Business Expansion,2420.6
500722,Working Capital,2452.07
500723,Working Capital,1536.2
500724,Working Capital,1499.91
500724,Working Capital,1499.91
500724,Business Expansion,1499.91
500725,Working Capital,8152.21
500726,Business Expansion,100463.63
500727,Working Capital,433.37
500728,Debt Consolidation,2322.01
500729,Debt Consolidation,134.02
500729,Working Capital,134.02
500729,Personal Consumption,134.02
500730,Working Capital,17816.98
500731,Debt Consolidation,89.38
500731,Working Capital,89.38
500731,Personal Consumption,89.38
500732,Working Capital,31334.87
500732,Working Capital,31334.86
500733,Working Capital,16575.57
500733,Business Expansion,16575.57
500734,Working Capital,2032.96
500735,Working Capital,2129.65
500736,Business Expansion,4016.9
500737,Debt Consolidation,114917.77
500738,Business Expansion,1515.29
500738,Working Capital,1515.29
500739,Vehicle Purchase,1121.16
500740,Equipment Purchase,38770.67
500741,Business Expansion,3092.6
500742,Working Capital,2097.97
500742,Working Capital,2097.97
500743,Debt Consolidation,100508.84
