HIST_DATE,DEAL_NO,REST_TYPE
2020-10-31,501298,LVL1
2020-10-31,501424,LVL1
2020-10-31,501497,LVL1
2020-10-31,501514,LVL3
2020-10-31,501571,LVL1
2020-10-31,501648,LVL1
2020-10-31,501706,LVL3
2020-10-31,501760,LVL2
2020-10-31,501826,LVL1
2020-10-31,501917,LVL2
2020-10-31,502168,LVL3
2020-10-31,502283,LVL1
2020-10-31,502316,LVL3
2020-10-31,502352,LVL1
2020-10-31,502354,LVL3
2020-10-31,502376,LVL1
2020-10-31,502584,LVL1
2020-10-31,502677,LVL3
2020-10-31,502714,LVL3
2020-10-31,502717,LVL2
2020-10-31,502806,LVL1
2020-11-30,500004,LVL3
2020-11-30,500048,LVL1
2020-11-30,500111,LVL1
2020-11-30,500266,LVL3
2020-11-30,500318,LVL3
2020-11-30,500421,LVL3
2020-11-30,500528,LVL2
2020-11-30,500679,LVL1
2020-11-30,500727,LVL1
2020-11-30,500730,LVL3
2020-11-30,500804,LVL1
2020-11-30,500850,LVL1
2020-11-30,500977,LVL1
2020-11-30,500994,LVL1
2020-11-30,501042,LVL1
2020-11-30,501139,LVL1
2020-11-30,501509,LVL1
2020-11-30,501530,LVL1
2020-11-30,501536,LVL1
2020-11-30,501538,LVL1
2020-11-30,501585,LVL1
2020-11-30,501648,LVL1
2020-11-30,501831,LVL1
2020-11-30,501834,LVL1
2020-11-30,501843,LVL1
2020-11-30,501885,LVL1
2020-11-30,501960,LVL3
2020-11-30,502077,LVL1
2020-11-30,502303,LVL1
2020-11-30,502351,LVL1
2020-11-30,502391,LVL1
2020-11-30,502395,LVL1
2020-11-30,502398,LVL1
2020-11-30,502401,LVL1
2020-11-30,502481,LVL1
2020-11-30,502500,LVL1
2020-11-30,502503,LVL1
2020-11-30,502602,LVL3
2020-11-30,502654,LVL1
2020-11-30,502667,LVL3
2020-11-30,502683,LVL1
2020-11-30,502736,LVL1
2020-11-30,502742,LVL1
2020-11-30,502769,LVL1
2020-11-30,502815,LVL1
2020-11-30,502845,LVL1
2020-11-30,502916,LVL3
2020-11-30,502949,LVL3
2020-11-30,502951,LVL1
2020-11-30,502970,LVL1
2020-11-30,502972,LVL1
2020-12-31,500069,LVL1
2020-12-31,500156,LVL2
2020-12-31,500234,LVL1
2020-12-31,500299,LVL1
2020-12-31,500381,LVL1
2020-12-31,500483,LVL1
2020-12-31,500560,LVL2
2020-12-31,500589,LVL1
2020-12-31,500620,LVL3
2020-12-31,500630,LVL1
2020-12-31,500645,LVL1
2020-12-31,500647,LVL1
2020-12-31,500651,LVL3
2020-12-31,500790,LVL1
2020-12-31,500804,LVL1
2020-12-31,500825,LVL3
2020-12-31,500880,LVL3
2020-12-31,500884,LVL1
2020-12-31,501153,LVL1
2020-12-31,501244,LVL1
2020-12-31,501301,LVL1
2020-12-31,501380,LVL1
2020-12-31,501524,LVL1
2020-12-31,501637,LVL3
2020-12-31,501661,LVL1
2020-12-31,501685,LVL1
2020-12-31,501703,LVL1
2020-12-31,501809,LVL1
2020-12-31,501958,LVL1
2020-12-31,501995,LVL1
2020-12-31,502014,LVL1
2020-12-31,502109,LVL1
2020-12-31,502117,LVL1
2020-12-31,502201,LVL3
2020-12-31,502207,LVL1
2020-12-31,502319,LVL1
2020-12-31,502354,LVL1
2020-12-31,502515,LVL1
2020-12-31,502523,LVL1
2020-12-31,502524,LVL1
2020-12-31,502658,LVL1
2020-12-31,502661,LVL1
2020-12-31,502883,LVL1
2020-12-31,502927,LVL1
2020-12-31,502936,LVL1
2020-12-31,502972,LVL1
2020-12-31,502981,LVL1
2020-12-31,503031,LVL1
2020-12-31,503078,LVL1
2020-12-31,503085,LVL1
2020-12-31,503330,LVL2
2020-12-31,503348,LVL1
2020-12-31,503361,LVL1
2020-12-31,503373,LVL1
2021-01-31,500055,LVL1
2021-01-31,500163,LVL3
2021-01-31,500218,LVL1
2021-01-31,500246,LVL1
2021-01-31,500256,LVL3
2021-01-31,500297,LVL1
2021-01-31,500513,LVL1
2021-01-31,500536,LVL3
2021-01-31,500571,LVL1
2021-01-31,500572,LVL1
2021-01-31,500716,LVL1
2021-01-31,500724,LVL1
2021-01-31,500875,LVL1
2021-01-31,500904,LVL1
2021-01-31,500930,LVL3
2021-01-31,501174,LVL3
2021-01-31,501322,LVL1
2021-01-31,501351,LVL3
2021-01-31,501434,LVL3
2021-01-31,501477,LVL1
2021-01-31,501516,LVL1
2021-01-31,501584,LVL3
2021-01-31,501603,LVL1
2021-01-31,501631,LVL1
2021-01-31,501640,LVL1
2021-01-31,501738,LVL1
2021-01-31,501745,LVL1
2021-01-31,501749,LVL1
2021-01-31,501802,LVL1
2021-01-31,501884,LVL1
2021-01-31,501984,LVL1
2021-01-31,501988,LVL1
2021-01-31,502003,LVL1
2021-01-31,502096,LVL1
2021-01-31,502137,LVL1
2021-01-31,502244,LVL1
2021-01-31,502504,LVL1
2021-01-31,502526,LVL1
2021-01-31,502578,LVL3
2021-01-31,502647,LVL3
2021-01-31,502706,LVL1
2021-01-31,502808,LVL1
2021-01-31,502819,LVL1
2021-01-31,502902,LVL3
2021-01-31,502955,LVL1
2021-01-31,503047,LVL3
2021-01-31,503100,LVL2
2021-01-31,503428,LVL1
2021-01-31,503467,LVL3
2021-01-31,503535,LVL2
2021-01-31,503538,LVL3
2021-01-31,503609,LVL3
2021-01-31,503623,LVL1
2021-01-31,503751,LVL1
2021-02-28,500022,LVL1
2021-02-28,500035,LVL1
2021-02-28,500058,LVL3
2021-02-28,500360,LVL1
2021-02-28,500384,LVL1
2021-02-28,500541,LVL3
2021-02-28,500559,LVL3
2021-02-28,500585,LVL3
2021-02-28,500615,LVL1
2021-02-28,500624,LVL1
2021-02-28,500873,LVL1
2021-02-28,500963,LVL1
2021-02-28,501090,LVL3
2021-02-28,501204,LVL3
2021-02-28,501222,LVL1
2021-02-28,501241,LVL1
2021-02-28,501309,LVL1
2021-02-28,501381,LVL1
2021-02-28,501432,LVL1
2021-02-28,501488,LVL3
2021-02-28,501512,LVL1
2021-02-28,501639,LVL1
2021-02-28,501644,LVL1
2021-02-28,501691,LVL2
2021-02-28,501698,LVL1
2021-02-28,501747,LVL1
2021-02-28,501814,LVL1
2021-02-28,501858,LVL3
2021-02-28,501920,LVL1
2021-02-28,501924,LVL1
2021-02-28,501959,LVL1
2021-02-28,501966,LVL1
2021-02-28,502026,LVL2
2021-02-28,502108,LVL1
2021-02-28,502191,LVL3
2021-02-28,502203,LVL1
2021-02-28,502224,LVL1
2021-02-28,502419,LVL1
2021-02-28,502545,LVL1
2021-02-28,502557,LVL3
2021-02-28,502594,LVL1
2021-02-28,502615,LVL1
2021-02-28,502657,LVL3
2021-02-28,502681,LVL1
2021-02-28,502763,LVL2
2021-02-28,502797,LVL2
2021-02-28,502800,LVL3
2021-02-28,502831,LVL1
2021-02-28,503005,LVL1
2021-02-28,503062,LVL1
2021-02-28,503396,LVL1
2021-02-28,503434,LVL3
2021-02-28,503436,LVL1
2021-02-28,503507,LVL1
2021-02-28,503523,LVL1
2021-02-28,503904,LVL1
2021-02-28,503955,LVL1
2021-02-28,503956,LVL1
2021-02-28,503989,LVL1
2021-02-28,504006,LVL3
2021-03-31,500017,LVL1
2021-03-31,500118,LVL1
2021-03-31,500128,LVL1
2021-03-31,500154,LVL2
2021-03-31,500245,LVL3
2021-03-31,500289,LVL3
2021-03-31,500294,LVL3
2021-03-31,500383,LVL1
2021-03-31,500404,LVL1
2021-03-31,500550,LVL1
2021-03-31,500727,LVL3
2021-03-31,500886,LVL1
2021-03-31,500913,LVL1
2021-03-31,500968,LVL3
2021-03-31,501092,LVL1
2021-03-31,501131,LVL1
2021-03-31,501143,LVL1
2021-03-31,501224,LVL3
2021-03-31,501264,LVL2
2021-03-31,501349,LVL1
2021-03-31,501363,LVL1
2021-03-31,501421,LVL1
2021-03-31,501423,LVL1
2021-03-31,501671,LVL3
2021-03-31,501688,LVL2
2021-03-31,501786,LVL2
2021-03-31,501898,LVL3
2021-03-31,502012,LVL1
2021-03-31,502133,LVL1
2021-03-31,502295,LVL1
2021-03-31,502335,LVL1
2021-03-31,502401,LVL1
2021-03-31,502501,LVL1
2021-03-31,502525,LVL3
2021-03-31,502593,LVL1
2021-03-31,502787,LVL1
2021-03-31,502822,LVL1
2021-03-31,502887,LVL1
2021-03-31,502940,LVL2
2021-03-31,503002,LVL3
2021-03-31,503046,LVL1
2021-03-31,503070,LVL1
2021-03-31,503071,LVL1
2021-03-31,503077,LVL1
2021-03-31,503123,LVL3
2021-03-31,503156,LVL3
2021-03-31,503168,LVL3
2021-03-31,503212,LVL1
2021-03-31,503215,LVL1
2021-03-31,503273,LVL3
2021-03-31,503413,LVL1
2021-03-31,503489,LVL1
2021-03-31,503492,LVL1
2021-03-31,503536,LVL1
2021-03-31,503610,LVL3
2021-03-31,503689,LVL3
2021-03-31,503712,LVL3
2021-03-31,503806,LVL1
2021-03-31,503860,LVL1
2021-03-31,503872,LVL1
2021-03-31,503873,LVL1
2021-03-31,503924,LVL1
2021-03-31,503991,LVL1
2021-03-31,503996,LVL1
2021-03-31,504025,LVL1
2021-03-31,504120,LVL3
2021-03-31,504387,LVL1
2021-04-30,500045,LVL1
2021-04-30,500056,LVL1
2021-04-30,500107,LVL1
2021-04-30,500223,LVL1
2021-04-30,500306,LVL3
2021-04-30,500418,LVL3
2021-04-30,500503,LVL2
2021-04-30,500557,LVL3
2021-04-30,500659,LVL3
2021-04-30,500718,LVL3
2021-04-30,500724,LVL1
2021-04-30,500770,LVL1
2021-04-30,500827,LVL3
2021-04-30,500878,LVL1
2021-04-30,500939,LVL3
2021-04-30,500948,LVL1
2021-04-30,501004,LVL1
2021-04-30,501082,LVL1
2021-04-30,501126,LVL1
2021-04-30,501237,LVL3
2021-04-30,501239,LVL1
2021-04-30,501393,LVL1
2021-04-30,501447,LVL2
2021-04-30,501606,LVL1
2021-04-30,501693,LVL1
2021-04-30,501730,LVL1
2021-04-30,501809,LVL1
2021-04-30,501847,LVL1
2021-04-30,501903,LVL1
2021-04-30,502014,LVL2
2021-04-30,502090,LVL1
2021-04-30,502210,LVL1
2021-04-30,502276,LVL3
2021-04-30,502287,LVL3
2021-04-30,502346,LVL1
2021-04-30,502401,LVL1
2021-04-30,502434,LVL3
2021-04-30,502584,LVL1
2021-04-30,502687,LVL3
2021-04-30,502690,LVL1
2021-04-30,502696,LVL1
2021-04-30,502717,LVL3
2021-04-30,502720,LVL3
2021-04-30,502776,LVL1
2021-04-30,502818,LVL1
2021-04-30,502867,LVL1
2021-04-30,502914,LVL1
2021-04-30,502958,LVL3
2021-04-30,502990,LVL1
2021-04-30,503042,LVL1
2021-04-30,503126,LVL1
2021-04-30,503167,LVL1
2021-04-30,503385,LVL1
2021-04-30,503401,LVL3
2021-04-30,503452,LVL1
2021-04-30,503570,LVL1
2021-04-30,503592,LVL1
2021-04-30,503706,LVL1
2021-04-30,503762,LVL1
2021-04-30,503908,LVL2
2021-04-30,503925,LVL1
2021-04-30,503961,LVL1
2021-04-30,503973,LVL1
2021-04-30,503989,LVL1
2021-04-30,504050,LVL3
2021-04-30,504136,LVL1
2021-04-30,504147,LVL1
2021-04-30,504246,LVL1
2021-04-30,504269,LVL1
2021-04-30,504393,LVL3
2021-04-30,504548,LVL1
2021-04-30,504610,LVL1
2021-04-30,504710,LVL1
2021-05-31,500079,LVL1
2021-05-31,500102,LVL1
2021-05-31,500294,LVL1
2021-05-31,500624,LVL2
2021-05-31,500768,LVL1
2021-05-31,500793,LVL3
2021-05-31,500941,LVL1
2021-05-31,501041,LVL1
2021-05-31,501079,LVL1
2021-05-31,501089,LVL1
2021-05-31,501200,LVL1
2021-05-31,501246,LVL3
2021-05-31,501266,LVL1
2021-05-31,501284,LVL3
2021-05-31,501316,LVL3
2021-05-31,501379,LVL1
2021-05-31,501832,LVL1
2021-05-31,501867,LVL1
2021-05-31,501952,LVL1
2021-05-31,502024,LVL1
2021-05-31,502116,LVL3
2021-05-31,502241,LVL2
2021-05-31,502432,LVL3
2021-05-31,502466,LVL1
2021-05-31,502494,LVL1
2021-05-31,502527,LVL1
2021-05-31,502576,LVL1
2021-05-31,502604,LVL3
2021-05-31,502664,LVL3
2021-05-31,502682,LVL3
2021-05-31,502775,LVL1
2021-05-31,502805,LVL1
2021-05-31,502876,LVL3
2021-05-31,502906,LVL1
2021-05-31,502909,LVL1
2021-05-31,502946,LVL1
2021-05-31,503092,LVL1
2021-05-31,503173,LVL1
2021-05-31,503285,LVL1
2021-05-31,503367,LVL1
2021-05-31,503395,LVL3
2021-05-31,503492,LVL1
2021-05-31,503507,LVL3
2021-05-31,503835,LVL1
2021-05-31,503909,LVL1
2021-05-31,503932,LVL3
2021-05-31,503962,LVL3
2021-05-31,504170,LVL1
2021-05-31,504195,LVL1
2021-05-31,504277,LVL1
2021-05-31,504282,LVL2
2021-05-31,504335,LVL1
2021-05-31,504491,LVL1
2021-05-31,504504,LVL1
2021-05-31,504582,LVL1
2021-05-31,504593,LVL1
2021-05-31,504661,LVL1
2021-05-31,504691,LVL3
2021-05-31,504702,LVL1
2021-05-31,504768,LVL2
2021-05-31,504829,LVL1
2021-05-31,504909,LVL1
2021-05-31,504917,LVL1
2021-05-31,505021,LVL1
2021-05-31,505060,LVL1
2021-06-30,500003,LVL3
2021-06-30,500024,LVL1
2021-06-30,500171,LVL1
2021-06-30,500221,LVL1
2021-06-30,500277,LVL1
2021-06-30,500294,LVL3
2021-06-30,500390,LVL1
2021-06-30,500401,LVL1
2021-06-30,500411,LVL3
2021-06-30,500456,LVL1
2021-06-30,500509,LVL1
2021-06-30,500546,LVL1
2021-06-30,500764,LVL1
2021-06-30,500964,LVL3
2021-06-30,500971,LVL2
2021-06-30,500972,LVL3
2021-06-30,501114,LVL2
2021-06-30,501132,LVL1
2021-06-30,501139,LVL3
2021-06-30,501238,LVL1
2021-06-30,501244,LVL2
2021-06-30,501259,LVL1
2021-06-30,501307,LVL3
2021-06-30,501359,LVL1
2021-06-30,501419,LVL1
2021-06-30,501518,LVL1
2021-06-30,501528,LVL3
2021-06-30,501611,LVL3
2021-06-30,501777,LVL1
2021-06-30,501806,LVL1
2021-06-30,501845,LVL1
2021-06-30,502129,LVL1
2021-06-30,502170,LVL1
2021-06-30,502339,LVL3
2021-06-30,502415,LVL3
2021-06-30,502424,LVL1
2021-06-30,502496,LVL1
2021-06-30,502534,LVL1
2021-06-30,502615,LVL1
2021-06-30,502752,LVL1
2021-06-30,502815,LVL3
2021-06-30,502874,LVL1
2021-06-30,502925,LVL3
2021-06-30,502953,LVL1
2021-06-30,502977,LVL1
2021-06-30,502993,LVL1
2021-06-30,503005,LVL1
2021-06-30,503047,LVL1
2021-06-30,503066,LVL1
2021-06-30,503069,LVL1
2021-06-30,503137,LVL3
2021-06-30,503190,LVL3
2021-06-30,503262,LVL1
2021-06-30,503322,LVL1
2021-06-30,503337,LVL1
2021-06-30,503619,LVL3
2021-06-30,503681,LVL1
2021-06-30,503784,LVL1
2021-06-30,503836,LVL2
2021-06-30,503842,LVL1
2021-06-30,503861,LVL1
2021-06-30,503882,LVL1
2021-06-30,503906,LVL3
2021-06-30,503954,LVL1
2021-06-30,503984,LVL1
2021-06-30,504005,LVL1
2021-06-30,504070,LVL3
2021-06-30,504108,LVL1
2021-06-30,504248,LVL1
2021-06-30,504277,LVL1
2021-06-30,504287,LVL1
2021-06-30,504346,LVL1
2021-06-30,504416,LVL1
2021-06-30,504634,LVL1
2021-06-30,504644,LVL1
2021-06-30,504693,LVL1
2021-06-30,504728,LVL1
2021-06-30,504839,LVL1
2021-06-30,504849,LVL1
2021-06-30,504883,LVL1
2021-06-30,504951,LVL1
2021-06-30,505001,LVL1
2021-06-30,505014,LVL3
2021-06-30,505039,LVL1
2021-06-30,505066,LVL1
2021-06-30,505088,LVL1
2021-06-30,505146,LVL1
2021-06-30,505190,LVL3
2021-06-30,505266,LVL1
2021-07-31,500101,LVL1
2021-07-31,500112,LVL1
2021-07-31,500211,LVL3
2021-07-31,500230,LVL3
2021-07-31,500234,LVL1
2021-07-31,500352,LVL1
2021-07-31,500553,LVL1
2021-07-31,500605,LVL1
2021-07-31,500729,LVL1
2021-07-31,500793,LVL1
2021-07-31,500819,LVL1
2021-07-31,500921,LVL1
2021-07-31,501029,LVL3
2021-07-31,501057,LVL3
2021-07-31,501089,LVL3
2021-07-31,501105,LVL1
2021-07-31,501162,LVL1
2021-07-31,501163,LVL1
2021-07-31,501339,LVL1
2021-07-31,501347,LVL1
2021-07-31,501520,LVL1
2021-07-31,501521,LVL1
2021-07-31,501626,LVL1
2021-07-31,501769,LVL1
2021-07-31,501837,LVL1
2021-07-31,501927,LVL1
2021-07-31,501946,LVL1
2021-07-31,502051,LVL3
2021-07-31,502152,LVL1
2021-07-31,502222,LVL3
2021-07-31,502397,LVL3
2021-07-31,502602,LVL1
2021-07-31,502710,LVL1
2021-07-31,502786,LVL1
2021-07-31,502848,LVL1
2021-07-31,502980,LVL3
2021-07-31,503035,LVL1
2021-07-31,503060,LVL2
2021-07-31,503062,LVL3
2021-07-31,503149,LVL1
2021-07-31,503188,LVL1
2021-07-31,503248,LVL1
2021-07-31,503320,LVL1
2021-07-31,503358,LVL3
2021-07-31,503370,LVL2
2021-07-31,503481,LVL1
2021-07-31,503548,LVL3
2021-07-31,503592,LVL1
2021-07-31,503682,LVL3
2021-07-31,503734,LVL3
2021-07-31,503766,LVL3
2021-07-31,503809,LVL3
2021-07-31,503826,LVL1
2021-07-31,504070,LVL1
2021-07-31,504122,LVL2
2021-07-31,504275,LVL1
2021-07-31,504539,LVL1
2021-07-31,504592,LVL3
2021-07-31,504698,LVL1
2021-07-31,504718,LVL2
2021-07-31,504731,LVL1
2021-07-31,504887,LVL1
2021-07-31,504970,LVL1
2021-07-31,505055,LVL1
2021-07-31,505060,LVL1
2021-07-31,505087,LVL2
2021-07-31,505121,LVL1
2021-07-31,505206,LVL1
2021-07-31,505315,LVL1
2021-07-31,505393,LVL1
2021-07-31,505414,LVL1
2021-07-31,505454,LVL1
2021-07-31,505460,LVL3
2021-07-31,505572,LVL1
2021-07-31,505597,LVL3
2021-07-31,505608,LVL3
2021-07-31,505612,LVL1
2021-07-31,505680,LVL1
2021-08-31,500021,LVL3
2021-08-31,500087,LVL1
2021-08-31,500295,LVL1
2021-08-31,500342,LVL1
2021-08-31,500358,LVL1
2021-08-31,500468,LVL1
2021-08-31,500505,LVL3
2021-08-31,500775,LVL1
2021-08-31,500883,LVL1
2021-08-31,501024,LVL1
2021-08-31,501037,LVL3
2021-08-31,501067,LVL1
2021-08-31,501125,LVL1
2021-08-31,501216,LVL3
2021-08-31,501229,LVL1
2021-08-31,501268,LVL3
2021-08-31,501306,LVL3
2021-08-31,501526,LVL1
2021-08-31,501626,LVL1
2021-08-31,501738,LVL1
2021-08-31,501782,LVL2
2021-08-31,501812,LVL1
2021-08-31,501833,LVL1
2021-08-31,501921,LVL1
2021-08-31,501945,LVL3
2021-08-31,501954,LVL1
2021-08-31,502030,LVL3
2021-08-31,502103,LVL1
2021-08-31,502257,LVL1
2021-08-31,502348,LVL1
2021-08-31,502398,LVL3
2021-08-31,502429,LVL3
2021-08-31,502536,LVL1
2021-08-31,502636,LVL3
2021-08-31,502690,LVL1
2021-08-31,502701,LVL2
2021-08-31,502706,LVL1
2021-08-31,502742,LVL1
2021-08-31,502808,LVL1
2021-08-31,502849,LVL1
2021-08-31,502853,LVL3
2021-08-31,502858,LVL1
2021-08-31,503005,LVL3
2021-08-31,503022,LVL3
2021-08-31,503035,LVL3
2021-08-31,503146,LVL3
2021-08-31,503273,LVL1
2021-08-31,503330,LVL2
2021-08-31,503360,LVL3
2021-08-31,503397,LVL1
2021-08-31,503486,LVL3
2021-08-31,503528,LVL1
2021-08-31,503590,LVL1
2021-08-31,503663,LVL1
2021-08-31,503899,LVL1
2021-08-31,503947,LVL3
2021-08-31,503988,LVL1
2021-08-31,504001,LVL2
2021-08-31,504025,LVL1
2021-08-31,504084,LVL3
2021-08-31,504096,LVL1
2021-08-31,504103,LVL1
2021-08-31,504287,LVL1
2021-08-31,504335,LVL1
2021-08-31,504339,LVL1
2021-08-31,504354,LVL1
2021-08-31,504406,LVL1
2021-08-31,504450,LVL1
2021-08-31,504459,LVL1
2021-08-31,504521,LVL1
2021-08-31,504530,LVL1
2021-08-31,504556,LVL1
2021-08-31,504625,LVL3
2021-08-31,504717,LVL1
2021-08-31,504734,LVL1
2021-08-31,504910,LVL1
2021-08-31,504960,LVL1
2021-08-31,505067,LVL1
2021-08-31,505127,LVL1
2021-08-31,505155,LVL1
2021-08-31,505218,LVL1
2021-08-31,505253,LVL3
2021-08-31,505331,LVL3
2021-08-31,505600,LVL3
2021-08-31,505660,LVL1
2021-08-31,505681,LVL3
2021-08-31,505685,LVL1
2021-08-31,505830,LVL1
2021-08-31,505841,LVL2
2021-08-31,505897,LVL3
2021-08-31,505921,LVL1
2021-08-31,505991,LVL2
2021-08-31,505996,LVL1
2021-08-31,506000,LVL3
2021-09-30,500091,LVL1
2021-09-30,500100,LVL3
2021-09-30,500138,LVL1
2021-09-30,500197,LVL3
2021-09-30,500365,LVL1
2021-09-30,500651,LVL1
2021-09-30,500790,LVL1
2021-09-30,500797,LVL3
2021-09-30,500981,LVL1
2021-09-30,501021,LVL3
2021-09-30,501182,LVL1
2021-09-30,501303,LVL3
2021-09-30,501373,LVL1
2021-09-30,501405,LVL1
2021-09-30,501429,LVL1
2021-09-30,501479,LVL1
2021-09-30,501491,LVL1
2021-09-30,501542,LVL1
2021-09-30,501571,LVL1
2021-09-30,501713,LVL1
2021-09-30,501727,LVL1
