DEAL_NO,CLIENT_NO,APPLICATION_ID,ORIGINATION_DATE,LOAN_SEGMENT,LOAN_PRODUCT,APPROVED_AMOUNT_GEL,CLOSURE_REASON,CLOSURE_DATE
500031,901481,100000031,2020-01-31,SML,Corporate Term Loan,3365.41,Refinanced,2022-03-31
500032,908218,100000032,2020-01-31,CB,Corporate Term Loan,145699.17,Refinanced,2020-12-31
500033,906990,100000033,2020-01-31,RB,Mortgage,966.45,Paid Off Early,2026-01-31
500034,906863,100000034,2020-01-31,RB,Auto Loan,1273.81,Matured,2025-08-31
500035,902645,100000035,2020-01-31,RB,Auto Loan,566.09,Paid Off Early,2022-08-31
500036,900790,100000036,2020-01-31,SML,Developer,3894.96,Refinanced,2023-01-31
500037,908807,100000037,2020-01-31,SML,Corporate Term Loan,2440.95,Refinanced,2020-02-29
500038,908738,100000038,2020-01-31,SML,Working Capital,2722.91,Refinanced,2020-11-30
500039,905555,100000039,2020-01-31,SMM,Trade Finance,11441.0,Paid Off Early,2020-08-31
500040,906140,100000040,2020-01-31,SMM,Working Capital,37171.3,Matured,2021-04-30
500041,902591,100000041,2020-01-31,SML,Trade Finance,3641.01,Matured,2021-09-30
500042,903732,100000042,2020-01-31,SMM,Developer,7280.67,Refinanced,2021-12-31
500043,903206,100000043,2020-01-31,CB,Working Capital,117694.12,Matured,2021-11-30
500044,906714,100000044,2020-01-31,SML,Trade Finance,2143.61,Matured,2021-06-30
500045,906111,100000045,2020-01-31,SML,Developer,2459.9,Matured,2023-03-31
500046,904515,100000046,2020-01-31,SMM,Developer,27188.51,Refinanced,2020-07-31
500047,902528,100000047,2020-01-31,SML,Developer,2438.62,Matured,2024-10-31
500048,906868,100000048,2020-01-31,SML,Working Capital,4338.06,Paid Off Early,2021-01-31
500049,906724,100000049,2020-01-31,SML,Developer,3746.84,Refinanced,2020-12-31
500050,900968,100000050,2020-01-31,SMM,Developer,6045.18,Matured,2022-06-30
500051,906440,100000051,2020-01-31,SML,Agro,3671.23,Paid Off Early,2020-07-31
500052,903752,100000052,2020-01-31,CB,Corporate Term Loan,82321.5,Refinanced,2020-07-31
500053,904981,100000053,2020-01-31,SML,Working Capital,4186.47,Matured,2021-09-30
500054,907864,100000054,2020-01-31,SML,Working Capital,3923.6,Matured,2021-04-30
500055,906274,100000055,2020-01-31,SML,Working Capital,3995.43,Refinanced,2021-04-30
500056,906370,100000056,2020-01-31,SMM,Developer,24263.47,Refinanced,2022-05-31
500057,904114,100000057,2020-01-31,SML,Corporate Term Loan,2124.04,Paid Off Early,2020-09-30
500058,905954,100000058,2020-01-31,SML,Corporate Term Loan,3684.66,Paid Off Early,2021-02-28
500059,906459,100000059,2020-01-31,CB,Trade Finance,186884.27,Matured,2020-09-30
500060,906671,100000060,2020-01-31,SML,Agro,2196.42,Matured,2022-04-30
500061,900791,100000061,2020-01-31,RB,Consumer,1729.71,Matured,2021-11-30
500062,906833,100000062,2020-01-31,SMM,Trade Finance,29041.35,Matured,2020-11-30
500063,907760,100000063,2020-01-31,CB,Trade Finance,74343.94,Matured,2022-06-30
500064,904154,100000064,2020-01-31,RB,Consumer,973.43,Matured,2021-12-31
500065,907427,100000065,2020-01-31,SMM,Corporate Term Loan,24446.5,Matured,2022-05-31
500066,904867,100000066,2020-01-31,CB,Trade Finance,196668.68,Matured,2020-08-31
500067,908929,100000067,2020-01-31,RB,Mortgage,281.37,,
500068,907615,100000068,2020-01-31,SML,Digital,1687.01,Paid Off Early,2022-06-30
500069,902529,100000069,2020-01-31,SMM,Working Capital,41690.72,Paid Off Early,2021-01-31
500070,906800,100000070,2020-01-31,SMM,Corporate Term Loan,24578.61,Refinanced,2021-08-31
500071,908453,100000071,2020-01-31,CB,Working Capital,123257.47,Paid Off Early,2020-03-31
500072,908327,100000072,2020-01-31,SMM,Trade Finance,13240.29,Matured,2020-08-31
500073,905139,100000073,2020-01-31,SML,Working Capital,2567.63,Matured,2021-12-31
500074,908413,100000074,2020-01-31,SMM,Working Capital,39139.54,Matured,2020-09-30
500075,900011,100000075,2020-01-31,SML,Working Capital,3372.79,Paid Off Early,2020-06-30
500076,901027,100000076,2020-01-31,RB,Auto Loan,610.02,,
500077,906425,100000077,2020-01-31,CB,Trade Finance,164329.6,Matured,2021-03-31
500078,904614,100000078,2020-01-31,SML,Working Capital,4604.38,Matured,2021-09-30
500079,905909,100000079,2020-01-31,RB,Auto Loan,92.72,Paid Off Early,2022-10-31
500080,905128,100000080,2020-01-31,RB,Consumer,652.61,Matured,2024-11-30
500081,900190,100000081,2020-01-31,SMM,Trade Finance,24991.02,Refinanced,2020-02-29
500082,902531,100000082,2020-01-31,SML,Corporate Term Loan,3579.68,Refinanced,2023-07-31
500083,902055,100000083,2020-01-31,SML,Trade Finance,2142.61,Matured,2021-06-30
500084,901098,100000084,2020-01-31,SMM,Trade Finance,10620.95,Matured,2020-09-30
500085,902013,100000085,2020-01-31,SML,Corporate Term Loan,3774.05,Matured,2026-06-30
500086,908637,100000086,2020-01-31,CB,Trade Finance,180822.06,Matured,2021-11-30
500087,908827,100000087,2020-01-31,CB,Working Capital,180112.07,Matured,2022-07-31
500088,905397,100000088,2020-01-31,RB,Consumer,1082.55,Matured,2023-05-31
500089,906828,100000089,2020-01-31,SMM,Working Capital,36464.72,Matured,2021-01-31
500090,906813,100000090,2020-01-31,SMM,Developer,37526.45,Matured,2023-02-28
500091,906505,100000091,2020-01-31,SML,Corporate Term Loan,4291.83,Paid Off Early,2022-07-31
500092,901181,100000092,2020-01-31,RB,Auto Loan,607.16,Paid Off Early,2022-06-30
500093,905346,100000093,2020-01-31,SMM,Trade Finance,41685.79,Matured,2021-05-31
500094,908118,100000094,2020-01-31,RB,Consumer,63.11,Matured,2022-02-28
500095,905764,100000095,2020-01-31,SML,Developer,3280.06,Matured,2024-02-29
500096,906915,100000096,2020-01-31,SML,Consumer,1646.21,Paid Off Early,2023-08-31
500097,907224,100000097,2020-01-31,SMM,Agro,6361.77,Matured,2022-08-31
500098,902957,100000098,2020-01-31,SMM,Working Capital,23488.35,Matured,2022-01-31
500099,902762,100000099,2020-01-31,CB,Trade Finance,114627.89,Paid Off Early,2020-06-30
500100,906273,100000100,2020-01-31,SMM,Developer,37793.28,Matured,2023-08-31
500101,901192,100000101,2020-01-31,CB,Corporate Term Loan,60316.09,Matured,2023-06-30
500102,901473,100000102,2020-01-31,CB,Trade Finance,140381.06,Matured,2022-04-30
500103,902567,100000103,2020-01-31,CB,Working Capital,94408.01,Refinanced,2020-03-31
500104,908944,100000104,2020-01-31,SML,Corporate Term Loan,3403.33,Matured,2023-10-31
500105,907187,100000105,2020-01-31,RB,Mortgage,364.97,Matured,2025-10-31
500106,903296,100000106,2020-01-31,SML,Corporate Term Loan,2301.49,Written Off,2022-01-31
500107,908887,100000107,2020-01-31,SMM,Agro,25186.95,Matured,2022-06-30
500108,901762,100000108,2020-01-31,SMM,Developer,9974.53,Paid Off Early,2020-03-31
500109,902976,100000109,2020-01-31,RB,Digital,655.44,Matured,2023-11-30
500110,904641,100000110,2020-01-31,SMM,Trade Finance,28825.3,Matured,2021-11-30
500111,902290,100000111,2020-01-31,RB,Consumer,1151.13,Paid Off Early,2021-06-30
500112,904072,100000112,2020-01-31,SML,Agro,2279.37,Matured,2022-12-31
500113,904177,100000113,2020-01-31,CB,Trade Finance,57734.8,Matured,2021-04-30
500114,908322,100000114,2020-01-31,RB,Digital,1315.92,Matured,2022-10-31
500115,903453,100000115,2020-01-31,SML,Developer,3358.23,Paid Off Early,2020-04-30
500116,904476,100000116,2020-01-31,SML,Working Capital,2659.76,Paid Off Early,2020-05-31
500117,900388,100000117,2020-01-31,SMM,Trade Finance,6927.7,Matured,2021-10-31
500118,907038,100000118,2020-01-31,CB,Trade Finance,109644.14,Matured,2021-09-30
500119,901570,100000119,2020-01-31,SMM,Working Capital,23719.12,Matured,2022-01-31
500120,903442,100000120,2020-01-31,CB,Working Capital,209264.16,Refinanced,2021-06-30
500121,901624,100000121,2020-01-31,CB,Corporate Term Loan,193274.49,Refinanced,2020-02-29
500122,905502,100000122,2020-01-31,SML,Digital,1578.42,Paid Off Early,2022-09-30
500123,906388,100000123,2020-01-31,RB,Consumer,293.83,Matured,2023-01-31
500124,902539,100000124,2020-01-31,SML,Agro,3452.97,Matured,2022-08-31
500125,907757,100000125,2020-01-31,SML,Agro,3638.68,Refinanced,2020-06-30
500126,900298,100000126,2020-01-31,CB,Developer,172712.9,Paid Off Early,2020-03-31
500127,903389,100000127,2020-01-31,SML,Corporate Term Loan,3807.79,Paid Off Early,2020-02-29
500128,908560,100000128,2020-01-31,SMM,Developer,10636.63,Refinanced,2021-06-30
500129,903871,100000129,2020-01-31,CB,Working Capital,136128.53,Refinanced,2020-07-31
500130,904730,100000130,2020-01-31,CB,Trade Finance,130058.93,Matured,2020-10-31
500131,903341,100000131,2020-01-31,SML,Developer,4186.64,Paid Off Early,2021-12-31
500132,901109,100000132,2020-01-31,SMM,Corporate Term Loan,32507.53,Matured,2022-03-31
500133,903610,100000133,2020-01-31,SMM,Developer,8128.0,Paid Off Early,2021-04-30
500134,906559,100000134,2020-01-31,RB,Auto Loan,799.51,Matured,2024-11-30
500135,903025,100000135,2020-01-31,CB,Corporate Term Loan,115004.26,Matured,2025-08-31
500136,906525,100000136,2020-01-31,SMM,Agro,27405.4,Paid Off Early,2020-08-31
500137,904974,100000137,2020-01-31,SML,Trade Finance,3834.83,Matured,2020-10-31
500138,900914,100000138,2020-01-31,RB,Mortgage,144.35,Paid Off Early,2024-05-31
500139,902366,100000139,2020-01-31,SMM,Corporate Term Loan,36399.04,Refinanced,2024-06-30
500140,903777,100000140,2020-01-31,RB,Digital,562.42,Paid Off Early,2022-03-31
500141,907236,100000141,2020-01-31,SMM,Working Capital,32920.42,Matured,2021-10-31
500142,903993,100000142,2020-01-31,SMM,Agro,22712.71,Matured,2022-09-30
500143,900662,100000143,2020-01-31,SML,Corporate Term Loan,2505.88,Paid Off Early,2020-07-31
500144,901782,100000144,2020-01-31,RB,Consumer,191.93,Matured,2021-08-31
500145,901787,100000145,2020-01-31,RB,Auto Loan,1792.89,Paid Off Early,2021-09-30
500146,906519,100000146,2020-01-31,RB,Auto Loan,372.13,Matured,2024-11-30
500147,902732,100000147,2020-01-31,SML,Corporate Term Loan,2692.9,Matured,2022-08-31
500148,908071,100000148,2020-01-31,SML,Trade Finance,3985.38,Matured,2021-09-30
500149,903487,100000149,2020-01-31,SMM,Agro,12171.19,Matured,2022-09-30
500150,905441,100000150,2020-01-31,RB,Consumer,599.12,Matured,2022-11-30
500151,904751,100000151,2020-01-31,RB,Consumer,995.26,Matured,2023-01-31
500152,908218,100000152,2020-01-31,SML,Developer,2261.26,Matured,2023-07-31
500153,907947,100000153,2020-01-31,RB,Digital,207.85,Matured,2021-12-31
500154,903930,100000154,2020-01-31,SMM,Trade Finance,7508.09,Matured,2021-09-30
500155,904026,100000155,2020-01-31,CB,Trade Finance,96234.49,Matured,2022-01-31
500156,903781,100000156,2020-01-31,RB,Mortgage,159.16,Paid Off Early,2023-04-30
500157,905331,100000157,2020-01-31,RB,Digital,502.88,Paid Off Early,2020-12-31
500158,904871,100000158,2020-01-31,SML,Agro,4660.4,Matured,2022-03-31
500159,907504,100000159,2020-01-31,SMM,Working Capital,37959.01,Matured,2020-12-31
500160,907282,100000160,2020-01-31,SMM,Corporate Term Loan,37142.56,Refinanced,2020-11-30
500161,902662,100000161,2020-01-31,CB,Developer,153986.82,Paid Off Early,2022-05-31
500162,906320,100000162,2020-01-31,SMM,Working Capital,33319.72,Matured,2021-09-30
500163,901069,100000163,2020-01-31,SML,Developer,4529.26,Paid Off Early,2022-03-31
500164,905984,100000164,2020-01-31,SML,Trade Finance,3980.22,Matured,2021-04-30
500165,903798,100000165,2020-01-31,SML,Developer,2160.55,Matured,2022-03-31
500166,900631,100000166,2020-01-31,SML,Trade Finance,3595.27,Matured,2021-04-30
500167,907626,100000167,2020-01-31,SMM,Trade Finance,13880.77,Refinanced,2020-08-31
500168,906201,100000168,2020-01-31,CB,Working Capital,207458.54,Matured,2020-12-31
500169,900445,100000169,2020-01-31,SMM,Working Capital,11149.79,Matured,2022-02-28
500170,907224,100000170,2020-01-31,SML,Developer,2781.34,Refinanced,2022-04-30
500171,902656,100000171,2020-01-31,RB,Consumer,880.73,Matured,2023-02-28
500172,904398,100000172,2020-01-31,CB,Corporate Term Loan,180486.47,Paid Off Early,2021-10-31
500173,906623,100000173,2020-01-31,SML,Consumer,1748.76,Refinanced,2020-02-29
500174,903040,100000174,2020-01-31,CB,Corporate Term Loan,142617.5,Paid Off Early,2023-05-31
500175,901054,100000175,2020-01-31,SMM,Agro,20709.91,Matured,2021-02-28
500176,908382,100000176,2020-01-31,SMM,Corporate Term Loan,38860.99,Paid Off Early,2021-09-30
500177,903551,100000177,2020-01-31,CB,Corporate Term Loan,122632.41,Matured,2022-08-31
500178,902644,100000178,2020-01-31,RB,Digital,1736.11,Matured,2022-12-31
500179,902181,100000179,2020-01-31,RB,Mortgage,1807.53,Paid Off Early,2023-01-31
500180,905815,100000180,2020-01-31,RB,Auto Loan,1315.14,,
500181,904221,100000181,2020-01-31,SMM,Working Capital,32005.55,Matured,2021-05-31
500182,902497,100000182,2020-01-31,SMM,Corporate Term Loan,19673.58,Matured,2022-05-31
500183,908827,100000183,2020-01-31,SMM,Agro,31187.65,Matured,2021-03-31
500184,904850,100000184,2020-01-31,RB,Mortgage,1703.17,Paid Off Early,2024-07-31
500185,903050,100000185,2020-01-31,SML,Auto Loan,1709.43,Paid Off Early,2020-09-30
500186,903954,100000186,2020-01-31,SMM,Trade Finance,7773.52,Matured,2020-08-31
500187,904383,100000187,2020-01-31,RB,Consumer,1168.27,Matured,2021-12-31
500188,902591,100000188,2020-01-31,SMM,Agro,41566.92,Matured,2022-11-30
500189,901358,100000189,2020-01-31,SMM,Working Capital,5401.51,Matured,2020-08-31
500190,908131,100000190,2020-01-31,CB,Developer,84196.46,Refinanced,2020-02-29
500191,903510,100000191,2020-01-31,CB,Working Capital,54275.55,Matured,2021-12-31
500192,902408,100000192,2020-01-31,SMM,Trade Finance,38217.41,Matured,2021-12-31
500193,900225,100000193,2020-01-31,SML,Trade Finance,2689.81,Matured,2021-01-31
500194,905424,100000194,2020-01-31,SML,Working Capital,2815.77,Matured,2021-12-31
500195,901175,100000195,2020-01-31,SMM,Working Capital,18024.69,Matured,2020-12-31
500196,908901,100000196,2020-01-31,RB,Consumer,1589.34,Paid Off Early,2021-07-31
500197,908513,100000197,2020-01-31,RB,Mortgage,1348.81,Paid Off Early,2022-06-30
500198,908754,100000198,2020-01-31,RB,Mortgage,36.92,,
500199,900060,100000199,2020-01-31,SMM,Developer,35213.69,Matured,2025-01-31
500200,902121,100000200,2020-01-31,RB,Auto Loan,26.74,Paid Off Early,2023-11-30
500201,903808,100000201,2020-01-31,CB,Trade Finance,65026.28,Refinanced,2020-04-30
500202,902584,100000202,2020-01-31,SMM,Working Capital,22309.93,Matured,2021-01-31
500203,900110,100000203,2020-01-31,SMM,Corporate Term Loan,26218.79,Refinanced,2022-07-31
500204,907602,100000204,2020-01-31,SML,Trade Finance,4132.6,Matured,2020-08-31
500205,906308,100000205,2020-01-31,SMM,Working Capital,13045.35,Refinanced,2021-04-30
500206,906523,100000206,2020-01-31,SML,Working Capital,4568.94,Matured,2021-03-31
500207,908049,100000207,2020-01-31,RB,Mortgage,1649.44,,
500208,903347,100000208,2020-01-31,SMM,Working Capital,40925.88,Refinanced,2020-09-30
500209,900068,100000209,2020-01-31,SML,Developer,2249.46,Matured,2023-02-28
500210,900747,100000210,2020-01-31,SMM,Trade Finance,12492.7,Matured,2020-12-31
500211,906644,100000211,2020-01-31,RB,Consumer,1462.97,Written Off,2023-03-31
500212,905284,100000212,2020-01-31,SML,Agro,3363.68,Matured,2021-08-31
500213,907079,100000213,2020-01-31,RB,Consumer,1127.41,Matured,2022-10-31
500214,907685,100000214,2020-01-31,SMM,Working Capital,36460.18,Matured,2021-07-31
500215,901137,100000215,2020-01-31,SML,Agro,2813.36,Matured,2023-10-31
500216,905986,100000216,2020-01-31,RB,Consumer,878.63,Matured,2025-07-31
500217,901839,100000217,2020-01-31,CB,Corporate Term Loan,70716.56,Paid Off Early,2021-02-28
500218,905200,100000218,2020-01-31,SMM,Corporate Term Loan,19170.33,Matured,2026-01-31
500219,902338,100000219,2020-01-31,RB,Mortgage,1191.72,,
500220,906917,100000220,2020-01-31,SMM,Corporate Term Loan,9080.29,Refinanced,2020-07-31
500221,908947,100000221,2020-01-31,RB,Auto Loan,1130.27,,
500222,907206,100000222,2020-01-31,RB,Consumer,1868.71,Matured,2024-06-30
500223,905030,100000223,2020-01-31,RB,Mortgage,612.53,,
500224,901411,100000224,2020-01-31,SML,Working Capital,4261.9,Paid Off Early,2020-06-30
500225,903389,100000225,2020-01-31,SML,Corporate Term Loan,3104.46,Matured,2022-03-31
500226,906996,100000226,2020-01-31,SMM,Developer,36374.04,Refinanced,2021-10-31
500227,906273,100000227,2020-01-31,SML,Digital,1526.97,Refinanced,2020-04-30
500228,902452,100000228,2020-01-31,SML,Working Capital,3703.81,Paid Off Early,2020-11-30
500229,902038,100000229,2020-01-31,SML,Trade Finance,2294.29,Matured,2021-04-30
500230,904506,100000230,2020-01-31,SMM,Developer,35132.63,Paid Off Early,2021-08-31
500231,905088,100000231,2020-01-31,SML,Trade Finance,2567.93,Refinanced,2020-03-31
500232,905582,100000232,2020-01-31,SML,Agro,3512.62,Refinanced,2020-07-31
500233,907813,100000233,2020-01-31,SML,Agro,2568.06,Matured,2021-05-31
500234,906494,100000234,2020-01-31,SML,Agro,4630.0,Refinanced,2022-03-31
500235,902247,100000235,2020-01-31,SMM,Working Capital,20704.03,Refinanced,2020-04-30
500236,903340,100000236,2020-01-31,SMM,Trade Finance,37554.97,Matured,2021-05-31
500237,905821,100000237,2020-01-31,RB,Digital,201.52,Matured,2023-12-31
500238,900428,100000238,2020-01-31,RB,Digital,175.62,Matured,2023-01-31
500239,905478,100000239,2020-01-31,RB,Auto Loan,706.24,Paid Off Early,2024-07-31
500240,902321,100000240,2020-01-31,RB,Mortgage,1085.3,,
500241,901361,100000241,2020-01-31,RB,Mortgage,377.89,Paid Off Early,2024-07-31
500242,906883,100000242,2020-01-31,SML,Corporate Term Loan,2641.04,Written Off,2025-06-30
500243,900753,100000243,2020-01-31,CB,Corporate Term Loan,169786.92,Paid Off Early,2021-08-31
500244,902731,100000244,2020-01-31,RB,Mortgage,1485.54,,
500245,906277,100000245,2020-01-31,SMM,Agro,10551.44,Matured,2022-04-30
500246,905468,100000246,2020-01-31,SML,Developer,3711.95,Matured,2024-01-31
500247,908076,100000247,2020-01-31,RB,Digital,746.22,Paid Off Early,2021-05-31
500248,903857,100000248,2020-01-31,RB,Consumer,1843.73,Matured,2021-07-31
500249,902895,100000249,2020-01-31,CB,Developer,167945.27,Refinanced,2020-05-31
500250,908350,100000250,2020-01-31,CB,Corporate Term Loan,116224.64,Matured,2024-11-30
500251,908655,100000251,2020-01-31,RB,Consumer,1455.84,Matured,2021-02-28
500252,901901,100000252,2020-01-31,RB,Consumer,1760.95,Written Off,2022-02-28
500253,907040,100000253,2020-01-31,RB,Auto Loan,161.26,Matured,2023-08-31
500254,905779,100000254,2020-01-31,SMM,Agro,17502.84,Matured,2022-04-30
500255,900510,100000255,2020-01-31,SMM,Developer,13862.16,Matured,2022-05-31
500256,900679,100000256,2020-01-31,SML,Corporate Term Loan,3228.18,Refinanced,2022-01-31
500257,900822,100000257,2020-01-31,SMM,Trade Finance,20764.09,Matured,2021-12-31
500258,900892,100000258,2020-01-31,RB,Digital,956.0,Matured,2024-12-31
500259,904034,100000259,2020-01-31,SML,Agro,3756.61,Refinanced,2021-08-31
500260,903507,100000260,2020-01-31,SML,Developer,2898.39,Matured,2023-12-31
500261,906025,100000261,2020-01-31,RB,Mortgage,850.95,Written Off,2024-08-31
500262,901795,100000262,2020-01-31,SML,Agro,3118.94,Refinanced,2020-02-29
500263,901492,100000263,2020-01-31,CB,Corporate Term Loan,188886.2,Paid Off Early,2021-11-30
500264,905929,100000264,2020-01-31,CB,Working Capital,162402.13,Refinanced,2021-08-31
500265,904095,100000265,2020-01-31,RB,Mortgage,1754.84,Written Off,2024-01-31
500266,902199,100000266,2020-01-31,CB,Working Capital,134119.19,Matured,2021-04-30
500267,908631,100000267,2020-01-31,CB,Developer,148724.79,Paid Off Early,2022-03-31
500268,902822,100000268,2020-01-31,SMM,Working Capital,31012.59,Matured,2022-10-31
500269,904169,100000269,2020-01-31,SMM,Trade Finance,26371.56,Matured,2021-07-31
500270,906336,100000270,2020-01-31,RB,Auto Loan,773.85,Matured,2023-01-31
500271,907458,100000271,2020-01-31,SMM,Developer,23143.96,Refinanced,2020-03-31
500272,906053,100000272,2020-01-31,RB,Digital,1689.52,Matured,2023-03-31
500273,907559,100000273,2020-01-31,RB,Consumer,1347.55,Matured,2022-06-30
500274,904665,100000274,2020-01-31,SML,Working Capital,4172.75,Matured,2021-08-31
500275,903497,100000275,2020-01-31,RB,Digital,316.63,Matured,2022-01-31
500276,905129,100000276,2020-01-31,SML,Agro,4632.97,Matured,2021-02-28
500277,902083,100000277,2020-01-31,SMM,Working Capital,25602.11,Matured,2022-04-30
500278,906203,100000278,2020-01-31,SMM,Agro,37180.96,Paid Off Early,2021-02-28
500279,903705,100000279,2020-01-31,SMM,Developer,6950.3,Matured,2025-01-31
500280,902360,100000280,2020-01-31,SMM,Agro,35253.66,Written Off,2022-01-31
500281,900849,100000281,2020-01-31,RB,Consumer,1879.69,Written Off,2022-10-31
500282,907245,100000282,2020-01-31,SML,Agro,3109.07,Matured,2022-01-31
500283,904139,100000283,2020-01-31,SMM,Working Capital,33423.88,Refinanced,2020-04-30
500284,902021,100000284,2020-01-31,SMM,Developer,15105.01,Matured,2022-05-31
500285,908390,100000285,2020-01-31,SMM,Corporate Term Loan,25517.08,Matured,2023-08-31
500286,908333,100000286,2020-01-31,CB,Working Capital,209880.33,Matured,2021-09-30
500287,907658,100000287,2020-01-31,SML,Developer,3526.68,Matured,2022-05-31
500288,900566,100000288,2020-01-31,SMM,Developer,10496.05,Refinanced,2022-06-30
500289,906050,100000289,2020-01-31,SML,Developer,3153.65,Matured,2024-08-31
500290,904530,100000290,2020-01-31,SML,Agro,4221.95,Matured,2021-04-30
500291,903709,100000291,2020-01-31,RB,Auto Loan,1520.24,Matured,2022-09-30
500292,905873,100000292,2020-01-31,SMM,Trade Finance,17456.98,Matured,2022-01-31
500293,903601,100000293,2020-01-31,SMM,Agro,25243.98,Matured,2021-08-31
500294,901259,100000294,2020-01-31,CB,Corporate Term Loan,158686.59,Matured,2023-12-31
500295,903621,100000295,2020-01-31,SMM,Agro,28260.04,Matured,2022-03-31
500296,902225,100000296,2020-01-31,RB,Auto Loan,1764.52,Matured,2023-05-31
500297,903402,100000297,2020-01-31,SML,Developer,2543.44,Paid Off Early,2024-12-31
500298,903260,100000298,2020-01-31,SML,Trade Finance,3731.78,Matured,2021-07-31
500299,902287,100000299,2020-01-31,RB,Digital,1086.82,Matured,2023-08-31
500300,902512,100000300,2020-01-31,SML,Corporate Term Loan,4057.49,Matured,2025-04-30
500301,902031,100000301,2020-02-29,SML,Trade Finance,2420.41,Matured,2021-08-31
500302,904126,100000302,2020-02-29,SMM,Agro,18562.31,Matured,2021-10-31
500303,901536,100000303,2020-02-29,CB,Working Capital,59109.17,Refinanced,2020-12-31
500304,901087,100000304,2020-02-29,SML,Developer,4512.56,Matured,2023-10-31
500305,903778,100000305,2020-02-29,CB,Developer,192765.39,Matured,2023-07-31
500306,906308,100000306,2020-02-29,SML,Developer,4708.87,Matured,2023-04-30
500307,903798,100000307,2020-02-29,SMM,Working Capital,25696.09,Refinanced,2020-06-30
500308,900801,100000308,2020-02-29,SMM,Trade Finance,15066.78,Paid Off Early,2020-09-30
500309,906144,100000309,2020-02-29,SMM,Developer,37339.83,Paid Off Early,2021-08-31
500310,902408,100000310,2020-02-29,SMM,Developer,11205.42,Paid Off Early,2021-03-31
500311,902245,100000311,2020-02-29,SML,Trade Finance,3205.26,Matured,2021-05-31
500312,904594,100000312,2020-02-29,CB,Trade Finance,93454.64,Matured,2021-11-30
500313,901656,100000313,2020-02-29,SMM,Developer,19927.86,Refinanced,2020-10-31
500314,904366,100000314,2020-02-29,RB,Digital,350.29,Matured,2022-12-31
500315,901259,100000315,2020-02-29,SML,Working Capital,4518.3,Refinanced,2021-07-31
500316,901725,100000316,2020-02-29,SMM,Working Capital,7538.72,Refinanced,2021-05-31
500317,907596,100000317,2020-02-29,RB,Digital,384.62,Matured,2022-07-31
500318,902060,100000318,2020-02-29,SMM,Trade Finance,8512.24,Matured,2021-10-31
500319,901374,100000319,2020-02-29,SML,Working Capital,3926.74,Paid Off Early,2021-09-30
