CLIENT_NO,HIST_DATE,TRANSFER_IN,TRANSFER_OUT
904453,2024-01-31,4245.29,4388.49
904487,2024-01-31,4253.21,4163.81
904491,2024-01-31,2526.05,5844.5
904528,2024-01-31,1366.2,1698.37
904575,2024-01-31,385.73,981.11
904611,2024-01-31,2586.6,2595.46
904645,2024-01-31,2713.18,3505.3
904655,2024-01-31,972.58,565.22
904680,2024-01-31,892.24,2910.54
904682,2024-01-31,1665.28,7813.7
904710,2024-01-31,1273.77,3071.27
904716,2024-01-31,2804.82,4412.78
904718,2024-01-31,1974.25,4805.64
904726,2024-01-31,1160.66,2713.29
904739,2024-01-31,1208.3,3617.5
904740,2024-01-31,76.15,466.51
904748,2024-01-31,1761.91,1277.25
904786,2024-01-31,3662.25,1890.21
904791,2024-01-31,4149.83,1925.2
904811,2024-01-31,386.08,155.64
904829,2024-01-31,3312.38,7435.83
904839,2024-01-31,1239.19,3724.45
904841,2024-01-31,412.91,330.84
904852,2024-01-31,740.05,2865.17
904873,2024-01-31,2829.73,7229.58
904934,2024-01-31,1964.22,2340.57
904940,2024-01-31,284.42,1857.05
904944,2024-01-31,2311.47,1140.14
904968,2024-01-31,4412.32,1762.36
905046,2024-01-31,3937.93,2500.96
905058,2024-01-31,2095.76,8906.71
905104,2024-01-31,1835.27,2160.31
905115,2024-01-31,1017.03,4567.54
905133,2024-01-31,482.09,328.55
905152,2024-01-31,906.7,789.65
905170,2024-01-31,4297.34,4667.57
905190,2024-01-31,864.75,357.77
905197,2024-01-31,3846.33,2756.75
905218,2024-01-31,6390.74,1635.37
905267,2024-01-31,1765.59,962.45
905295,2024-01-31,823.8,2694.05
905351,2024-01-31,1041.3,5513.75
905358,2024-01-31,1808.1,8287.64
905360,2024-01-31,542.03,2977.77
905382,2024-01-31,467.54,1581.74
905397,2024-01-31,3084.29,2443.25
905410,2024-01-31,758.04,3949.16
905445,2024-01-31,3991.07,1099.74
905459,2024-01-31,440.17,1156.0
905471,2024-01-31,216.42,248.83
905488,2024-01-31,2145.12,5474.87
905504,2024-01-31,3866.87,4004.39
905527,2024-01-31,1021.0,3029.03
905544,2024-01-31,306.47,303.68
905572,2024-01-31,4426.06,1829.48
905592,2024-01-31,866.55,3886.98
905598,2024-01-31,2690.18,3126.68
905610,2024-01-31,1904.25,3456.32
905614,2024-01-31,2323.69,6821.61
905630,2024-01-31,1787.52,1513.02
905643,2024-01-31,1091.44,823.99
905659,2024-01-31,140.78,407.28
905660,2024-01-31,2477.67,697.78
905662,2024-01-31,926.76,5168.72
905680,2024-01-31,793.58,424.97
905689,2024-01-31,3963.22,1224.37
905712,2024-01-31,3481.81,935.53
905719,2024-01-31,2124.8,1108.63
905721,2024-01-31,3294.68,9140.03
905770,2024-01-31,1417.07,1240.4
905780,2024-01-31,1651.5,3032.88
905788,2024-01-31,3057.53,4418.05
905817,2024-01-31,2072.79,1892.22
905840,2024-01-31,340.7,1408.94
905841,2024-01-31,2560.0,1306.73
905850,2024-01-31,2208.85,4269.92
905864,2024-01-31,1707.6,943.61
905881,2024-01-31,3921.99,2700.69
905909,2024-01-31,3528.18,1045.19
906044,2024-01-31,2791.66,9462.44
906048,2024-01-31,539.45,439.62
906075,2024-01-31,1838.97,6659.76
906107,2024-01-31,648.0,1639.19
906139,2024-01-31,389.48,1194.14
906156,2024-01-31,3113.0,1047.48
906183,2024-01-31,1045.06,699.51
906186,2024-01-31,742.49,1888.15
906213,2024-01-31,2111.1,1684.85
906231,2024-01-31,502.29,812.49
906258,2024-01-31,1312.51,2404.94
906281,2024-01-31,2751.79,1377.35
906283,2024-01-31,1375.58,3816.54
906314,2024-01-31,2195.78,5880.25
906330,2024-01-31,1426.71,4606.54
906340,2024-01-31,3578.02,1808.52
906368,2024-01-31,916.78,3997.04
906438,2024-01-31,2705.38,1763.93
906460,2024-01-31,957.75,4081.71
906465,2024-01-31,3375.17,2475.57
906483,2024-01-31,537.08,2418.35
906485,2024-01-31,4479.16,1590.99
906501,2024-01-31,1597.57,3722.31
906560,2024-01-31,4469.37,2622.68
906573,2024-01-31,2318.09,6488.84
906582,2024-01-31,545.61,2870.5
906590,2024-01-31,850.36,2552.32
906611,2024-01-31,1047.79,5299.22
906620,2024-01-31,769.49,2219.99
906716,2024-01-31,566.08,2577.31
906718,2024-01-31,1657.57,8839.75
906739,2024-01-31,3682.96,1278.76
906759,2024-01-31,2226.83,1706.95
906765,2024-01-31,462.57,1165.85
906774,2024-01-31,1021.94,602.66
906816,2024-01-31,634.86,1519.13
906821,2024-01-31,3108.09,1759.02
906822,2024-01-31,141.25,595.54
906834,2024-01-31,3350.97,4592.25
906937,2024-01-31,2154.97,2129.91
906947,2024-01-31,5567.81,2472.81
906960,2024-01-31,4218.43,4613.16
906973,2024-01-31,1239.79,4385.15
906979,2024-01-31,1495.88,1945.33
907001,2024-01-31,1417.14,6382.89
907054,2024-01-31,1770.87,615.62
907057,2024-01-31,2980.99,2887.93
907064,2024-01-31,751.16,386.03
907072,2024-01-31,2112.43,2197.71
907079,2024-01-31,2893.68,8371.84
907082,2024-01-31,3278.45,2996.48
907092,2024-01-31,874.66,3087.61
907146,2024-01-31,3010.97,881.69
907169,2024-01-31,6426.58,2313.75
907187,2024-01-31,1476.35,3704.03
907212,2024-01-31,1875.04,4813.41
907237,2024-01-31,354.46,920.47
907254,2024-01-31,524.1,1299.08
907256,2024-01-31,2475.29,9143.22
907262,2024-01-31,2324.72,3920.18
907264,2024-01-31,2437.82,1730.95
907272,2024-01-31,1315.11,2929.01
907295,2024-01-31,1094.48,4042.88
907320,2024-01-31,3831.76,1725.2
907328,2024-01-31,1794.4,2563.29
907331,2024-01-31,1764.78,5415.64
907339,2024-01-31,2479.29,2074.47
907341,2024-01-31,2368.62,1712.61
907352,2024-01-31,1996.75,4711.46
907371,2024-01-31,1092.72,6250.36
907372,2024-01-31,2766.28,3873.63
907394,2024-01-31,747.35,657.56
907422,2024-01-31,2478.07,2483.25
907443,2024-01-31,1977.32,1609.02
907444,2024-01-31,1241.9,3289.67
907460,2024-01-31,635.5,1275.65
907477,2024-01-31,1235.85,6882.04
907485,2024-01-31,835.29,4140.19
907486,2024-01-31,830.93,2310.24
907531,2024-01-31,1741.69,5655.86
907542,2024-01-31,6029.48,2491.95
907566,2024-01-31,882.71,642.04
907575,2024-01-31,368.92,996.6
907593,2024-01-31,1173.41,913.83
907596,2024-01-31,257.47,1317.47
907606,2024-01-31,1065.46,6112.69
907608,2024-01-31,2346.38,7667.97
907621,2024-01-31,2195.93,5892.46
907643,2024-01-31,3029.67,6167.51
907674,2024-01-31,91.88,504.93
907677,2024-01-31,2287.07,911.55
907678,2024-01-31,5299.37,2356.05
907696,2024-01-31,1416.03,1845.25
907720,2024-01-31,2868.37,7333.2
907727,2024-01-31,670.7,1563.87
907736,2024-01-31,1727.16,568.72
907754,2024-01-31,954.14,358.59
907758,2024-01-31,5715.04,3178.0
907759,2024-01-31,2419.36,7358.09
907761,2024-01-31,3075.47,5039.73
907770,2024-01-31,2357.87,554.32
907774,2024-01-31,1205.67,2786.54
907782,2024-01-31,3862.5,3570.88
907783,2024-01-31,2316.75,1817.3
907800,2024-01-31,745.96,3583.98
907844,2024-01-31,1841.18,2116.83
907849,2024-01-31,686.78,3327.4
907877,2024-01-31,2061.95,6222.05
907915,2024-01-31,577.97,623.93
907919,2024-01-31,2229.12,7676.48
907950,2024-01-31,1504.25,5278.57
907964,2024-01-31,1236.16,8328.89
907971,2024-01-31,1136.0,6435.34
907983,2024-01-31,1492.99,4232.51
907991,2024-01-31,1678.13,6941.48
908002,2024-01-31,2253.33,6442.35
908061,2024-01-31,839.68,5413.5
908084,2024-01-31,124.89,627.47
908105,2024-01-31,3208.6,1177.72
908180,2024-01-31,2555.54,2633.27
908188,2024-01-31,986.89,3068.33
908230,2024-01-31,4213.94,1856.52
908232,2024-01-31,409.19,1744.53
908275,2024-01-31,485.33,1634.47
908289,2024-01-31,5454.12,2366.9
908291,2024-01-31,1883.59,2129.06
908294,2024-01-31,414.52,482.03
908339,2024-01-31,1213.68,2454.53
908352,2024-01-31,6634.76,1988.28
908383,2024-01-31,2861.75,1001.11
908392,2024-01-31,1622.98,680.03
908401,2024-01-31,693.68,632.15
908417,2024-01-31,1629.57,1051.3
908425,2024-01-31,963.72,4308.35
908466,2024-01-31,2446.5,1946.71
908482,2024-01-31,2396.17,3588.06
908499,2024-01-31,978.81,2175.23
908501,2024-01-31,1217.66,730.58
908532,2024-01-31,2117.31,583.64
908557,2024-01-31,1898.24,4405.42
908567,2024-01-31,344.74,1975.31
908576,2024-01-31,1847.95,3136.7
908580,2024-01-31,3454.05,3163.1
908607,2024-01-31,1777.96,539.0
908609,2024-01-31,2272.43,4214.73
908620,2024-01-31,1016.78,286.98
908643,2024-01-31,2715.14,3209.85
908665,2024-01-31,1053.83,5533.54
908677,2024-01-31,605.03,1436.27
908700,2024-01-31,1505.57,7311.25
908727,2024-01-31,4452.29,1256.82
908749,2024-01-31,949.59,994.37
908834,2024-01-31,621.64,3803.76
908862,2024-01-31,173.42,1011.16
908879,2024-01-31,4518.19,1743.87
908886,2024-01-31,3452.45,2177.54
908892,2024-01-31,1608.42,6640.47
908922,2024-01-31,734.55,583.76
908926,2024-01-31,1053.32,5723.93
908934,2024-01-31,2346.32,1534.72
908983,2024-01-31,2204.24,2708.84
900020,2024-02-29,1632.32,3335.99
900030,2024-02-29,735.53,4876.5
900052,2024-02-29,942.75,3901.11
900085,2024-02-29,1258.5,2957.43
900091,2024-02-29,1408.3,3203.08
900103,2024-02-29,3060.91,1303.0
900131,2024-02-29,1013.93,2575.87
900136,2024-02-29,474.73,1416.5
900145,2024-02-29,853.13,3682.65
900156,2024-02-29,2546.08,2686.17
900157,2024-02-29,823.35,2626.53
900159,2024-02-29,3658.7,1792.59
900270,2024-02-29,2097.25,4608.04
900306,2024-02-29,1339.03,2687.69
900322,2024-02-29,3185.24,6715.99
900329,2024-02-29,444.49,1740.52
900331,2024-02-29,5471.57,2095.8
900358,2024-02-29,1318.28,3553.92
900401,2024-02-29,362.69,108.16
900411,2024-02-29,2672.3,7435.08
900414,2024-02-29,715.97,3909.63
900416,2024-02-29,1931.31,4838.0
900417,2024-02-29,223.89,1105.15
900419,2024-02-29,3449.75,1840.36
900444,2024-02-29,1435.54,3935.57
900446,2024-02-29,925.63,3471.32
900518,2024-02-29,2451.43,3029.02
900542,2024-02-29,871.85,1233.48
900551,2024-02-29,1242.48,7599.91
900589,2024-02-29,1444.81,1286.32
900599,2024-02-29,2200.12,5890.29
900634,2024-02-29,1024.77,435.38
900668,2024-02-29,5783.1,2292.15
900680,2024-02-29,2771.33,1897.65
900686,2024-02-29,2804.66,1063.94
900715,2024-02-29,499.94,309.54
900739,2024-02-29,1961.49,1254.12
900742,2024-02-29,1076.44,1066.31
900754,2024-02-29,737.4,1583.31
900757,2024-02-29,4965.82,1700.72
900767,2024-02-29,1643.88,5154.61
900777,2024-02-29,974.3,3538.65
900778,2024-02-29,3933.16,2555.64
900786,2024-02-29,973.03,4701.77
900808,2024-02-29,4587.28,2371.57
900825,2024-02-29,5362.98,3047.24
900827,2024-02-29,3192.15,1693.71
900853,2024-02-29,3740.45,2139.34
900901,2024-02-29,4184.53,1347.25
900919,2024-02-29,718.8,586.59
900942,2024-02-29,1484.38,796.2
900958,2024-02-29,1231.73,5713.67
900965,2024-02-29,392.64,422.63
900985,2024-02-29,387.61,1691.66
900993,2024-02-29,1279.67,3847.85
901030,2024-02-29,1241.79,3869.48
901037,2024-02-29,2829.84,6833.63
901042,2024-02-29,1557.74,3938.32
901059,2024-02-29,529.95,1186.39
901070,2024-02-29,2006.27,6263.6
901091,2024-02-29,837.75,2518.66
901092,2024-02-29,1811.83,1939.03
901099,2024-02-29,1204.88,6213.28
901141,2024-02-29,2730.58,7001.04
901156,2024-02-29,2186.09,851.91
901193,2024-02-29,5928.26,2531.04
901228,2024-02-29,1297.56,4611.9
901244,2024-02-29,3107.54,9137.47
901245,2024-02-29,1712.04,2679.72
901251,2024-02-29,4181.04,3529.74
901293,2024-02-29,290.27,930.39
901297,2024-02-29,1434.57,2496.22
901304,2024-02-29,6372.12,1592.35
901312,2024-02-29,2540.2,1508.83
901353,2024-02-29,4044.07,1774.7
901354,2024-02-29,964.4,3173.39
901361,2024-02-29,840.2,6020.98
901363,2024-02-29,108.34,427.22
901372,2024-02-29,2089.21,1692.27
901383,2024-02-29,2880.34,1116.02
901429,2024-02-29,2622.8,669.8
901431,2024-02-29,2446.51,6729.03
901434,2024-02-29,4968.33,2620.47
901474,2024-02-29,1176.58,5275.19
901490,2024-02-29,388.71,1150.28
901538,2024-02-29,723.03,1913.58
901607,2024-02-29,967.47,909.19
901614,2024-02-29,3376.44,4677.88
901618,2024-02-29,848.8,4279.73
901621,2024-02-29,3553.94,1545.03
901630,2024-02-29,3099.97,3024.29
901663,2024-02-29,1574.6,7294.15
901681,2024-02-29,1816.11,3757.12
901691,2024-02-29,1843.71,3808.61
901744,2024-02-29,2963.57,2033.22
901786,2024-02-29,1092.66,5096.79
901794,2024-02-29,4071.26,1737.07
901840,2024-02-29,1116.56,630.92
901881,2024-02-29,1693.59,4029.05
901903,2024-02-29,476.18,116.86
901960,2024-02-29,1291.13,7276.49
901967,2024-02-29,302.09,586.16
901984,2024-02-29,3324.74,3621.59
902011,2024-02-29,3938.97,1383.49
902029,2024-02-29,2068.92,5814.95
902072,2024-02-29,1948.09,699.48
902091,2024-02-29,1121.13,607.15
902100,2024-02-29,833.65,3628.54
902193,2024-02-29,1757.69,450.38
902213,2024-02-29,991.13,3079.66
902246,2024-02-29,122.45,631.79
902251,2024-02-29,3182.66,6808.23
902265,2024-02-29,673.06,2211.64
902281,2024-02-29,2664.71,8012.25
902289,2024-02-29,2692.64,2232.1
902290,2024-02-29,896.44,5386.63
902301,2024-02-29,2732.14,831.12
902313,2024-02-29,1258.09,1538.57
902314,2024-02-29,1457.35,5632.92
902341,2024-02-29,844.37,1377.02
902362,2024-02-29,470.19,1315.16
902364,2024-02-29,1338.17,4025.99
902380,2024-02-29,5236.97,1690.93
902389,2024-02-29,713.44,4864.18
902428,2024-02-29,3655.91,2254.87
902431,2024-02-29,2146.68,1041.75
902446,2024-02-29,1031.54,402.28
902471,2024-02-29,2083.66,1023.66
902482,2024-02-29,5023.34,1273.49
902488,2024-02-29,246.54,245.8
902493,2024-02-29,1987.94,5582.64
902511,2024-02-29,2126.82,7925.69
902520,2024-02-29,4300.32,1577.52
902526,2024-02-29,2106.98,2088.36
902548,2024-02-29,1181.02,2766.38
902555,2024-02-29,3255.26,3821.47
902643,2024-02-29,1311.67,3933.13
902644,2024-02-29,2070.03,2059.12
902650,2024-02-29,2373.72,4980.15
902654,2024-02-29,5238.86,2773.49
902664,2024-02-29,396.26,1424.26
902673,2024-02-29,3793.15,2271.83
902704,2024-02-29,629.45,1068.94
902729,2024-02-29,904.79,241.18
902775,2024-02-29,1451.28,1426.07
902776,2024-02-29,3399.72,3609.59
902805,2024-02-29,2191.44,6086.02
902808,2024-02-29,2184.92,2417.69
902832,2024-02-29,2890.41,6666.59
902913,2024-02-29,888.95,1867.46
902922,2024-02-29,2079.09,5214.23
902958,2024-02-29,374.94,2527.44
902966,2024-02-29,2879.35,3379.54
902969,2024-02-29,1185.57,3344.75
902975,2024-02-29,4687.75,2077.51
902986,2024-02-29,1480.17,5132.25
903007,2024-02-29,853.69,1279.77
903018,2024-02-29,1127.14,3252.64
903020,2024-02-29,4432.35,3755.72
903104,2024-02-29,2484.82,6921.25
903115,2024-02-29,2441.45,801.22
903229,2024-02-29,5155.63,2162.45
903230,2024-02-29,829.6,4747.67
903240,2024-02-29,773.83,2841.55
903266,2024-02-29,1711.79,4000.58
903368,2024-02-29,2381.96,7271.75
903374,2024-02-29,3643.49,1138.89
903385,2024-02-29,2134.76,2638.81
903386,2024-02-29,4599.38,4457.05
903403,2024-02-29,3100.07,8064.1
903439,2024-02-29,1202.69,327.9
903463,2024-02-29,1015.77,1261.67
903485,2024-02-29,571.11,2026.66
903512,2024-02-29,2748.36,5375.35
903521,2024-02-29,2548.61,2164.84
903536,2024-02-29,2969.38,2092.49
903561,2024-02-29,4624.72,2729.07
903579,2024-02-29,633.99,1328.23
903598,2024-02-29,1657.22,4295.92
903616,2024-02-29,633.34,1905.73
903627,2024-02-29,2591.97,5638.03
903648,2024-02-29,1686.96,6021.94
903684,2024-02-29,1088.55,4791.64
903720,2024-02-29,1656.76,2195.48
903764,2024-02-29,327.55,912.49
903811,2024-02-29,647.75,1474.41
903815,2024-02-29,3219.86,3518.32
903816,2024-02-29,1252.62,2202.05
903843,2024-02-29,3625.89,2950.76
903856,2024-02-29,2024.87,7526.95
903868,2024-02-29,3548.07,4560.29
903881,2024-02-29,1007.73,5303.64
903889,2024-02-29,1990.59,3295.93
903906,2024-02-29,155.98,543.84
903912,2024-02-29,501.59,835.49
903936,2024-02-29,184.68,651.74
903951,2024-02-29,1151.45,393.31
903994,2024-02-29,1690.84,4085.42
904006,2024-02-29,2449.43,7139.51
904007,2024-02-29,1684.49,3785.17
904008,2024-02-29,1278.77,824.54
904013,2024-02-29,1291.46,2892.76
904015,2024-02-29,1596.38,5065.64
904022,2024-02-29,4545.21,1548.43
904039,2024-02-29,757.03,1720.19
904041,2024-02-29,654.96,1602.76
904081,2024-02-29,3710.02,3126.71
904108,2024-02-29,1039.29,1426.64
904151,2024-02-29,2356.31,5206.41
904189,2024-02-29,896.44,843.33
904217,2024-02-29,6307.31,3138.47
904254,2024-02-29,2217.18,4920.66
904291,2024-02-29,2605.48,1097.91
904297,2024-02-29,1042.43,3746.49
904303,2024-02-29,414.61,434.06
904335,2024-02-29,1732.29,5135.04
904336,2024-02-29,1488.05,729.93
904366,2024-02-29,214.68,288.76
904386,2024-02-29,1772.72,7919.33
904392,2024-02-29,1416.34,4842.3
904394,2024-02-29,814.11,2710.91
904397,2024-02-29,1514.7,5359.31
904436,2024-02-29,932.77,617.3
904446,2024-02-29,3908.58,1535.84
904450,2024-02-29,1817.58,5518.21
904453,2024-02-29,1425.66,1350.51
904460,2024-02-29,1910.78,1532.1
904478,2024-02-29,2739.68,3522.66
904487,2024-02-29,2181.94,2201.65
904491,2024-02-29,609.14,1852.75
904576,2024-02-29,4804.73,2671.93
904647,2024-02-29,280.5,1415.84
904652,2024-02-29,145.29,349.4
904680,2024-02-29,874.32,2276.14
904740,2024-02-29,772.07,2087.84
904757,2024-02-29,77.26,315.05
904786,2024-02-29,586.26,205.45
904791,2024-02-29,2447.71,1440.17
904794,2024-02-29,838.54,311.26
904797,2024-02-29,2064.76,6857.57
904811,2024-02-29,3503.58,1017.15
904829,2024-02-29,1553.27,9546.05
904851,2024-02-29,1132.48,1095.8
904862,2024-02-29,2824.72,1899.37
904873,2024-02-29,2923.64,5791.79
904876,2024-02-29,2675.64,1938.56
904934,2024-02-29,2652.59,3917.36
905012,2024-02-29,961.66,1960.19
