REFINANCE_DATE,DEAL_NO,REFINANCED_DEAL_NO,REFINANCE_AMOUNT
2021-04-30,504766,502658,17434.63
2021-04-30,504767,503141,3068.17
2021-04-30,504768,503327,2783.37
2021-04-30,504769,503386,1518.01
2021-04-30,504770,503611,1490.01
2021-04-30,504776,504591,88271.46
2021-04-30,504773,504433,6382.11
2021-04-30,504774,504465,22605.14
2021-04-30,504775,504503,13987.24
2021-04-30,504777,504664,7179.22
2021-04-30,504764,502258,5069.42
2021-04-30,504771,503858,2681.02
2021-04-30,504763,502012,2214.47
2021-04-30,504772,504202,36312.58
2021-04-30,504761,501595,169798.66
2021-04-30,504749,500055,3549.72
2021-04-30,504750,500205,9901.16
2021-04-30,504751,500347,34422.25
2021-04-30,504753,500488,3169.12
2021-04-30,504762,501703,2156.94
2021-04-30,504754,500806,3246.43
2021-04-30,504752,500351,6551.8
2021-04-30,504756,501076,6920.63
2021-04-30,504757,501325,14316.99
2021-04-30,504758,501330,8817.46
2021-04-30,504759,501547,26088.37
2021-04-30,504760,501594,2679.61
2021-04-30,504755,500992,2537.92
2021-05-31,505102,503708,31588.58
2021-05-31,505097,503153,1785.48
2021-05-31,505098,503413,169048.9
2021-05-31,505099,503517,3381.85
2021-05-31,505100,503572,2843.93
2021-05-31,505101,503651,3063.06
2021-05-31,505103,503727,5045.24
2021-05-31,505110,505061,112308.24
2021-05-31,505105,504513,3350.72
2021-05-31,505106,504696,64738.8
2021-05-31,505107,504746,4230.11
2021-05-31,505108,504748,28422.82
2021-05-31,505109,504965,4835.94
2021-05-31,505096,502932,2887.2
2021-05-31,505104,503872,2785.48
2021-05-31,505095,502811,72821.84
2021-05-31,505092,502657,14084.68
2021-05-31,505093,502698,2787.63
2021-05-31,505078,500316,5564.64
2021-05-31,505079,500375,1447.69
2021-05-31,505094,502704,1857.03
2021-05-31,505081,500635,1914.32
2021-05-31,505082,500643,949.3
2021-05-31,505083,501074,9185.75
2021-05-31,505084,501406,3468.74
2021-05-31,505080,500608,2895.06
2021-05-31,505086,502122,12317.58
2021-05-31,505087,502148,3051.68
2021-05-31,505088,502178,2524.33
2021-05-31,505089,502284,2039.09
2021-05-31,505090,502319,5903.69
2021-05-31,505091,502491,4116.71
2021-05-31,505085,501682,17692.51
2021-06-30,505424,503096,1460.94
2021-06-30,505426,503704,7649.41
2021-06-30,505427,503791,29342.86
2021-06-30,505428,503936,19459.41
2021-06-30,505432,504940,118201.53
2021-06-30,505430,504304,7611.35
2021-06-30,505431,504739,17170.08
2021-06-30,505433,505063,1663.34
2021-06-30,505423,502801,77058.87
2021-06-30,505429,504065,4645.45
2021-06-30,505422,502518,13147.07
2021-06-30,505425,503356,3952.77
2021-06-30,505420,502275,3277.32
2021-06-30,505421,502340,22821.65
2021-06-30,505411,500120,203785.24
2021-06-30,505412,500128,8035.13
2021-06-30,505414,501438,3425.38
2021-06-30,505415,501602,187321.18
2021-06-30,505413,500648,150001.87
2021-06-30,505417,501835,105174.5
2021-06-30,505418,502083,6855.8
2021-06-30,505419,502090,53723.85
2021-06-30,505416,501657,39525.54
2021-07-31,505756,505255,4303.31
2021-07-31,505751,503915,3224.28
2021-07-31,505752,504098,18863.1
2021-07-31,505753,504736,128518.7
2021-07-31,505755,505017,4180.66
2021-07-31,505757,505281,6252.33
2021-07-31,505762,505606,8029.06
2021-07-31,505759,505454,2371.8
2021-07-31,505760,505487,31384.06
2021-07-31,505761,505529,2024.02
2021-07-31,505750,503696,17007.38
2021-07-31,505763,505670,86171.01
2021-07-31,505764,505713,117911.98
2021-07-31,505758,505330,1143.75
2021-07-31,505749,503693,146912.06
2021-07-31,505754,504841,2827.76
2021-07-31,505747,503448,3108.22
2021-07-31,505748,503561,4084.08
2021-07-31,505734,500315,4326.6
2021-07-31,505736,500629,90473.87
2021-07-31,505737,501498,64458.43
2021-07-31,505738,501544,2247.64
2021-07-31,505739,501821,23562.39
2021-07-31,505735,500399,9533.56
2021-07-31,505741,502497,7068.98
2021-07-31,505742,503083,15536.95
2021-07-31,505743,503119,2183.73
2021-07-31,505744,503239,4104.08
2021-07-31,505745,503318,16925.39
2021-07-31,505740,501923,31950.38
2021-07-31,505746,503427,3855.12
2021-08-31,506096,504830,22192.08
2021-08-31,506095,504717,3084.95
2021-08-31,506094,504715,1805.53
2021-08-31,506093,504643,3423.32
2021-08-31,506091,504484,11435.62
2021-08-31,506090,504454,4019.22
2021-08-31,506089,504318,2714.49
2021-08-31,506097,504979,3371.98
2021-08-31,506092,504559,2046.69
2021-08-31,506098,504998,1426.74
2021-08-31,506105,505804,28768.13
2021-08-31,506100,505081,4354.9
2021-08-31,506101,505171,35312.69
2021-08-31,506102,505212,3405.72
2021-08-31,506103,505354,2634.1
2021-08-31,506109,505945,22243.57
2021-08-31,506106,505866,104266.83
2021-08-31,506107,505895,4952.11
2021-08-31,506108,505933,35371.6
2021-08-31,506088,504021,93996.71
2021-08-31,506099,505006,52930.63
2021-08-31,506087,503784,2743.83
2021-08-31,506104,505536,1448.74
2021-08-31,506085,503677,139531.7
2021-08-31,506065,500070,17520.61
2021-08-31,506066,500259,3462.39
2021-08-31,506067,500264,94766.73
2021-08-31,506068,500610,6825.54
2021-08-31,506069,500977,3132.52
2021-08-31,506070,501319,10742.59
2021-08-31,506071,501639,108424.22
2021-08-31,506072,501834,3405.69
2021-08-31,506073,501873,2761.6
2021-08-31,506074,502010,16254.62
2021-08-31,506086,503782,5536.76
2021-08-31,506076,502130,4076.72
2021-08-31,506077,502187,26018.13
2021-08-31,506078,502336,2651.88
2021-08-31,506079,502464,181850.6
2021-08-31,506080,502468,150388.14
2021-08-31,506081,502501,2000.43
2021-08-31,506082,502916,170953.85
2021-08-31,506083,503229,115501.74
2021-08-31,506084,503670,13852.25
2021-08-31,506075,502043,1115.32
2021-09-30,506428,504750,17833.16
2021-09-30,506429,504799,3259.33
2021-09-30,506430,504823,19400.11
2021-09-30,506431,504933,16835.84
2021-09-30,506432,505032,18455.37
2021-09-30,506434,505118,80035.28
2021-09-30,506438,505966,32866.59
2021-09-30,506436,505562,2040.23
2021-09-30,506437,505817,30977.77
2021-09-30,506426,504566,2551.69
2021-09-30,506439,506084,17339.38
2021-09-30,506440,506199,1791.98
2021-09-30,506441,506200,19262.07
2021-09-30,506435,505128,12923.8
2021-09-30,506425,504341,18835.75
2021-09-30,506433,505101,3095.83
2021-09-30,506423,503962,1199.18
2021-09-30,506424,504168,32740.03
2021-09-30,506410,500465,66873.54
2021-09-30,506411,500555,2201.21
2021-09-30,506412,501758,3368.96
2021-09-30,506413,501764,24392.06
2021-09-30,506414,502107,8694.63
2021-09-30,506415,502270,10476.14
2021-09-30,506427,504570,13703.0
2021-09-30,506417,502945,1467.26
2021-09-30,506418,503298,2645.34
2021-09-30,506419,503440,5913.22
2021-09-30,506420,503441,186454.86
2021-09-30,506421,503494,38002.2
2021-09-30,506422,503706,155699.81
2021-09-30,506416,502794,6861.42
2021-10-31,506776,505158,2235.49
2021-10-31,506775,505093,3849.56
2021-10-31,506774,505090,25991.92
2021-10-31,506773,504993,3093.82
2021-10-31,506770,504802,2289.65
2021-10-31,506771,504872,1544.97
2021-10-31,506777,505304,13760.48
2021-10-31,506769,504771,2212.3
2021-10-31,506768,504583,109036.86
2021-10-31,506772,504966,2355.47
2021-10-31,506778,505308,3298.07
2021-10-31,506782,505852,2772.93
2021-10-31,506780,505641,166281.41
2021-10-31,506781,505683,1361.08
2021-10-31,506783,505909,2585.73
2021-10-31,506784,505928,149974.48
2021-10-31,506785,505929,3142.84
2021-10-31,506767,504481,16049.17
2021-10-31,506787,506431,21594.15
2021-10-31,506788,506494,2624.45
2021-10-31,506789,506662,2512.76
2021-10-31,506790,506728,3634.65
2021-10-31,506791,506741,4235.83
2021-10-31,506779,505486,68605.56
2021-10-31,506786,506369,2188.12
2021-10-31,506766,504416,3174.82
2021-10-31,506764,504361,13595.0
2021-10-31,506742,500014,3085.42
2021-10-31,506743,500226,29078.85
2021-10-31,506744,500633,2166.24
2021-10-31,506746,501491,114512.95
2021-10-31,506747,501519,176305.03
2021-10-31,506748,501966,2850.68
2021-10-31,506749,501982,992.47
2021-10-31,506750,502014,8008.86
2021-10-31,506751,502273,1503.27
2021-10-31,506752,502289,17283.93
2021-10-31,506745,500804,27489.92
2021-10-31,506754,502724,7379.76
2021-10-31,506753,502512,16692.8
2021-10-31,506763,504023,3989.71
2021-10-31,506762,503907,15648.68
2021-10-31,506761,503841,3404.41
2021-10-31,506760,503702,66316.73
2021-10-31,506765,504390,2459.26
2021-10-31,506758,503128,1837.66
2021-10-31,506757,503002,2290.91
2021-10-31,506756,502948,91741.32
2021-10-31,506755,502757,3396.8
2021-10-31,506759,503485,30024.69
2021-11-30,507108,503868,2506.7
2021-11-30,507109,504121,37967.48
2021-11-30,507110,504249,81300.57
2021-11-30,507111,504255,91125.73
2021-11-30,507112,504775,11427.63
2021-11-30,507113,504803,92260.89
2021-11-30,507114,504930,1708.97
2021-11-30,507117,505510,7978.33
2021-11-30,507116,505390,33516.46
2021-11-30,507118,506066,4472.54
2021-11-30,507119,506171,2613.87
2021-11-30,507121,506822,2949.5
2021-11-30,507122,507044,1400.24
2021-11-30,507115,505133,2781.35
2021-11-30,507120,506377,3182.41
2021-11-30,507106,503108,1740.68
2021-11-30,507105,503000,1908.34
2021-11-30,507107,503812,84856.03
2021-11-30,507092,500771,20878.07
2021-11-30,507094,501276,2693.78
2021-11-30,507095,501286,36605.68
2021-11-30,507096,501426,776.37
2021-11-30,507097,501800,122233.59
2021-11-30,507093,500988,8691.15
2021-11-30,507099,502128,95914.68
2021-11-30,507100,502246,2182.1
2021-11-30,507101,502347,4026.05
2021-11-30,507102,502458,7794.05
2021-11-30,507103,502858,3907.74
2021-11-30,507098,501913,72893.07
2021-11-30,507104,502887,14920.19
2021-12-31,507455,505624,2942.56
2021-12-31,507454,505499,3123.21
2021-12-31,507453,505427,8099.96
2021-12-31,507452,505252,75276.19
2021-12-31,507450,504927,15109.29
2021-12-31,507449,504925,6401.98
2021-12-31,507448,504773,34158.05
2021-12-31,507456,505648,3193.16
2021-12-31,507451,505080,3693.95
2021-12-31,507457,505702,1780.5
2021-12-31,507464,507255,2415.82
2021-12-31,507459,505800,20954.76
2021-12-31,507460,505938,26731.24
2021-12-31,507461,506208,67097.2
2021-12-31,507462,506769,2214.4
2021-12-31,507463,506878,3803.03
2021-12-31,507465,507281,113940.35
2021-12-31,507466,507294,34545.53
2021-12-31,507467,507328,4202.56
2021-12-31,507447,504394,78068.89
2021-12-31,507458,505738,2050.65
2021-12-31,507446,504293,1442.91
2021-12-31,507429,501528,2475.45
2021-12-31,507444,504101,76713.38
2021-12-31,507423,500042,5490.23
2021-12-31,507425,500352,1542.6
2021-12-31,507426,500611,9297.03
2021-12-31,507427,500652,157513.96
2021-12-31,507428,501176,20045.38
2021-12-31,507445,504251,1935.39
2021-12-31,507430,501878,4406.6
2021-12-31,507431,501990,2607.27
2021-12-31,507432,502061,2602.86
2021-12-31,507433,502186,25238.24
2021-12-31,507424,500321,2725.19
2021-12-31,507435,502371,3041.32
2021-12-31,507434,502343,1346.77
2021-12-31,507442,503723,18406.73
2021-12-31,507441,503320,2737.44
2021-12-31,507440,503138,5753.02
2021-12-31,507443,503942,3328.53
2021-12-31,507438,502998,73165.06
2021-12-31,507437,502892,28449.87
2021-12-31,507436,502848,16297.51
2021-12-31,507439,503004,73635.55
2022-01-31,507792,505752,5467.93
2022-01-31,507799,506108,12134.85
2022-01-31,507793,505756,3129.15
2022-01-31,507794,505814,2289.81
2022-01-31,507795,505857,81188.02
2022-01-31,507796,506039,15169.24
2022-01-31,507797,506082,173437.77
2022-01-31,507798,506090,2529.07
2022-01-31,507800,506260,34534.95
2022-01-31,507805,507330,5823.98
2022-01-31,507802,506999,25622.6
2022-01-31,507803,507060,12107.42
2022-01-31,507804,507122,2238.01
2022-01-31,507806,507361,85886.15
2022-01-31,507807,507437,7452.62
2022-01-31,507808,507649,2970.88
2022-01-31,507809,507712,2547.36
2022-01-31,507791,505584,38188.89
2022-01-31,507801,506395,26473.07
2022-01-31,507790,505366,20142.88
2022-01-31,507789,505184,3894.52
2022-01-31,507773,501766,19475.56
2022-01-31,507788,505179,21779.09
2022-01-31,507768,500256,3080.11
2022-01-31,507769,500520,112327.77
2022-01-31,507770,500788,941.8
2022-01-31,507771,501004,94453.18
2022-01-31,507772,501447,50630.19
2022-01-31,507774,501826,9355.98
2022-01-31,507775,501945,25881.51
2022-01-31,507777,502312,33991.15
2022-01-31,507776,502058,25691.83
2022-01-31,507779,502953,1785.15
2022-01-31,507780,503041,10435.36
2022-01-31,507781,503191,3336.95
2022-01-31,507782,503629,4601.95
2022-01-31,507783,503736,2851.02
2022-01-31,507784,503808,10051.23
2022-01-31,507785,503990,30408.8
2022-01-31,507786,504420,36982.78
2022-01-31,507787,504578,132364.73
2022-01-31,507778,502937,96267.06
2022-02-28,508142,506224,36381.53
2022-02-28,508144,506480,30500.01
2022-02-28,508143,506439,7500.01
2022-02-28,508141,506087,3436.92
2022-02-28,508136,505981,1611.27
2022-02-28,508139,506046,3717.15
2022-02-28,508138,506018,109089.98
2022-02-28,508137,505990,1911.93
2022-02-28,508145,506635,1406.4
2022-02-28,508140,506086,27144.24
2022-02-28,508146,506644,8441.48
2022-02-28,508157,508058,2176.24
2022-02-28,508148,506977,56612.77
2022-02-28,508149,507306,27354.06
2022-02-28,508150,507339,27451.99
2022-02-28,508151,507363,3022.71
2022-02-28,508152,507396,2761.07
2022-02-28,508153,507634,1542.15
2022-02-28,508154,507646,3361.17
2022-02-28,508155,507814,3187.35
2022-02-28,508156,507848,10419.46
2022-02-28,508158,508098,1512.32
2022-02-28,508147,506751,3182.76
2022-02-28,508135,505867,119111.87
2022-02-28,508110,500647,11006.54
2022-02-28,508133,505226,158631.2
2022-02-28,508111,500904,2976.6
2022-02-28,508112,501684,24229.72
2022-02-28,508134,505772,25647.12
2022-02-28,508114,502194,31006.71
2022-02-28,508115,502250,14383.35
2022-02-28,508116,502589,42227.09
2022-02-28,508117,502761,4572.93
2022-02-28,508118,503257,14992.54
2022-02-28,508119,503345,54025.89
2022-02-28,508120,503691,1758.48
2022-02-28,508121,503797,2267.78
2022-02-28,508113,502054,1048.85
2022-02-28,508123,503870,28703.07
2022-02-28,508122,503857,2312.84
2022-02-28,508132,505162,2371.48
2022-02-28,508130,505053,3510.91
2022-02-28,508129,504732,14980.51
2022-02-28,508131,505102,10544.49
2022-02-28,508127,504537,11223.84
2022-02-28,508126,504476,262.63
2022-02-28,508125,504439,14946.8
2022-02-28,508124,503889,23885.64
2022-02-28,508128,504675,22699.06
2022-03-31,508485,507679,21336.09
2022-03-31,508479,505889,2822.31
2022-03-31,508481,506392,24909.14
2022-03-31,508482,506755,4173.46
2022-03-31,508483,507069,3320.3
2022-03-31,508484,507537,12671.97
2022-03-31,508486,507711,35037.06
2022-03-31,508492,508210,2321.0
2022-03-31,508488,508011,3500.54
2022-03-31,508489,508129,33282.86
2022-03-31,508490,508130,4298.52
2022-03-31,508491,508181,1167.01
2022-03-31,508493,508367,127305.17
2022-03-31,508494,508374,89315.37
2022-03-31,508478,505787,95379.32
2022-03-31,508487,507914,95655.19
2022-03-31,508477,505561,13672.58
2022-03-31,508480,506096,6414.06
2022-03-31,508475,505488,33970.84
2022-03-31,508459,500031,2207.34
2022-03-31,508460,500234,3989.86
2022-03-31,508461,500873,892.38
2022-03-31,508462,501022,2713.0
2022-03-31,508464,502069,1772.04
2022-03-31,508465,502766,2974.99
2022-03-31,508466,503015,2481.42
2022-03-31,508467,503840,81212.17
2022-03-31,508463,501872,1713.53
2022-03-31,508469,503991,82868.23
2022-03-31,508470,504362,6009.72
2022-03-31,508471,504472,2879.54
2022-03-31,508472,504703,67005.13
2022-03-31,508476,505541,79151.9
2022-03-31,508473,505014,6291.7
2022-03-31,508474,505045,1221.77
2022-03-31,508468,503897,2554.52
2022-04-30,508828,507176,14695.08
2022-04-30,508827,506576,23575.48
2022-04-30,508826,506422,64106.61
2022-04-30,508825,506349,2113.55
2022-04-30,508820,505357,6499.03
2022-04-30,508823,505903,142968.33
2022-04-30,508822,505553,6778.25
2022-04-30,508829,507274,25307.67
2022-04-30,508824,506078,1932.06
2022-04-30,508830,507362,130193.66
2022-04-30,508839,508584,1614.84
2022-04-30,508832,507823,69151.26
2022-04-30,508833,507870,2602.48
2022-04-30,508834,508047,171294.07
2022-04-30,508835,508151,3101.45
2022-04-30,508836,508494,82384.46
2022-04-30,508837,508511,2937.28
2022-04-30,508838,508537,3292.97
2022-04-30,508819,505275,5317.58
2022-04-30,508840,508673,4257.71
2022-04-30,508841,508692,2004.38
2022-04-30,508831,507373,20126.36
2022-04-30,508818,505265,1687.88
2022-04-30,508821,505388,4065.05
2022-04-30,508816,504824,2868.4
2022-04-30,508817,505207,3113.22
2022-04-30,508795,500170,1503.31
2022-04-30,508796,501425,3162.35
2022-04-30,508797,501561,152712.93
2022-04-30,508798,501790,21908.43
2022-04-30,508799,502414,2033.91
2022-04-30,508800,502740,2243.26
2022-04-30,508802,503166,103284.41
2022-04-30,508803,503339,21105.59
2022-04-30,508804,503428,11050.14
2022-04-30,508805,503515,2665.71
2022-04-30,508801,503105,1459.85
2022-04-30,508807,503957,1376.22
2022-04-30,508806,503580,2748.57
2022-04-30,508814,504665,81156.01
2022-04-30,508813,504533,3195.94
2022-04-30,508812,504522,3510.78
2022-04-30,508815,504758,4528.51
2022-04-30,508810,504434,10929.96
2022-04-30,508809,504428,2211.31
2022-04-30,508808,504264,2730.28
2022-04-30,508811,504458,2355.83
2022-05-31,509179,507832,1604.25
2022-05-31,509170,507077,3502.22
2022-05-31,509171,507184,2321.87
2022-05-31,509172,507202,2706.71
2022-05-31,509173,507226,3284.25
2022-05-31,509174,507453,37422.41
2022-05-31,509175,507459,37542.13
2022-05-31,509176,507496,2773.56
2022-05-31,509177,507709,1570.34
2022-05-31,509178,507746,3600.44
2022-05-31,509180,507887,121410.01
2022-05-31,509191,508865,21360.63
2022-05-31,509182,508321,3663.49
2022-05-31,509183,508365,126880.36
2022-05-31,509184,508387,2936.25
2022-05-31,509185,508729,21224.28
2022-05-31,509186,508811,2152.86
2022-05-31,509187,508814,145242.81
2022-05-31,509188,508832,136176.77
2022-05-31,509192,508966,10318.94
2022-05-31,509189,508840,2935.73
2022-05-31,509190,508851,5871.28
2022-05-31,509169,507016,1964.85
2022-05-31,509181,508230,16605.4
2022-05-31,509168,506979,15013.15
2022-05-31,509145,501841,52255.1
2022-05-31,509166,506829,2836.45
2022-05-31,509167,506860,5352.86
2022-05-31,509143,501189,1388.26
2022-05-31,509144,501626,3170.02
2022-05-31,509146,501974,31454.52
